date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-06-27,1190.55,1216.6,1178.0,1205.1,691500,DB,,,,,,0,,,,,,,,,,,
2025-06-30,1199.05,1212.0,1187.3,1201.6,468000,ISB,,,,,,0,1199.05,1255.0,1163.0,1247.8,0.0,,,,,,
2025-07-01,1201.9,1211.4,1176.9,1182.5,619500,DB,,,,,,0,,,,,,,,,,,
2025-07-02,1189.2,1196.6,1163.0,1184.0,297000,DB,1163.0,,1163.0,low,,1,,,,,,-1.0,1163.0,0.0,,1163.0,1163.0
2025-07-03,1191.8,1243.0,1180.3,1233.7,856500,DB,,,,,,0,,,,,,1.0,0.0,,1163.0,0.0,0.0
2025-07-04,1229.0,1255.0,1197.6,1247.8,980000,DB,,,,,,0,,,,,,-1.0,1163.0,,1163.0,,
2025-07-07,1244.1,1274.0,1236.1,1253.2,740500,DB,1274.0,1274.0,,high,,0,1244.1,1274.0,1175.2,1198.2,0.0,-1.0,1163.0,,1163.0,,
2025-07-08,1238.0,1251.0,1175.2,1227.7,1716500,DB,,,,,,1,,,,,,-1.0,1163.0,,1163.0,,
2025-07-09,1217.7,1219.7,1194.6,1201.0,637000,ISB,,,,,,0,,,,,,-1.0,1163.0,,1163.0,,
2025-07-10,1204.2,1210.9,1191.0,1200.0,565500,ISB,,,,,,0,,,,,,-1.0,1163.0,,1163.0,,
2025-07-11,1208.9,1216.5,1186.5,1198.2,448500,ISB,,,,,,1,,,,,,-1.0,1163.0,,1163.0,,
2025-07-14,1199.1,1208.0,1180.0,1193.4,373000,ISB,,,,,,1,1199.1,1229.2,1180.0,1204.0,1.0,-1.0,1163.0,,1163.0,,
2025-07-15,1199.1,1212.0,1182.4,1201.8,439500,ISB,,,,,,1,,,,,,-1.0,1163.0,,1163.0,,
2025-07-16,1203.0,1205.9,1187.2,1202.2,616000,ISB,,,,,,1,,,,,,-1.0,1163.0,,1163.0,,
2025-07-17,1203.9,1214.9,1192.3,1210.0,636000,ISB,,,,,,1,,,,,,-1.0,1163.0,,1163.0,,
2025-07-18,1212.7,1229.2,1186.0,1204.0,1448000,ISB,,,,,,1,,,,,,-1.0,1163.0,,1163.0,,
2025-07-21,1202.2,1233.5,1186.2,1223.4,547000,ISB,,,,,,1,1202.2,1233.5,1072.1,1080.4,0.0,-1.0,1163.0,,1163.0,,
2025-07-22,1170.0,1170.0,1129.2,1143.2,6090000,DB,,,,,,0,,,,,,-1.0,1163.0,1274.0,,1163.0,1163.0
2025-07-23,1142.0,1144.1,1126.5,1128.6,1594000,DB,,,,,,0,,,,,,1.0,1274.0,1274.0,,,
2025-07-24,1122.5,1144.0,1119.0,1122.7,1829000,DB,,,,,7.144635299975098,0,,,,,,1.0,1274.0,1274.0,,,
2025-07-25,1112.3,1115.0,1072.1,1080.4,931000,DB,,,,,10.777296937416779,0,,,,,,1.0,1274.0,1274.0,,,
2025-07-28,1063.6,1082.3,1063.6,1075.3,1941000,DB,,,,,15.129269071177795,0,1063.6,1089.0,1032.1,1057.1,0.0,1.0,1274.0,1274.0,,,
2025-07-29,1070.4,1089.0,1061.4,1084.2,1555000,OSB,,,,,15.30481966166613,0,,,,,,1.0,1274.0,1274.0,,,
2025-07-30,1073.4,1085.6,1058.5,1060.2,885500,DB,,,,,15.536227258218963,1,,,,,,1.0,1274.0,1274.0,,,
2025-07-31,1051.6,1060.9,1032.1,1051.0,1875000,DB,1032.1,,1032.1,low,17.642834344079166,0,,,,,,1.0,1274.0,1274.0,,,
2025-08-01,1060.3,1071.8,1051.0,1057.1,445500,DB,1071.8,1071.8,,high,16.134695180338337,0,,,,,,1.0,1274.0,1071.8,,,
2025-08-04,1056.8,1067.3,1045.7,1058.7,794000,DB,1045.7,,1045.7,low,14.824468518367679,1,1056.8,1078.0,1044.3,1048.0,0.0,1.0,1071.8,1071.8,,,
2025-08-05,1060.9,1075.7,1059.3,1069.0,902000,DB,,,,,11.798501248959205,1,,,,,,1.0,1071.8,,1045.7,1071.8,1071.8
2025-08-06,1074.8,1078.0,1053.0,1060.3,496500,OSB,1078.0,1078.0,,high,12.25,1,,,,,,-1.0,1045.7,,1045.7,,
2025-08-07,1061.3,1072.0,1044.4,1069.6,704500,DB,,,,,12.835920547487895,1,,,,,,-1.0,1045.7,1078.0,,1045.7,1045.7
2025-08-08,1069.9,1071.3,1044.3,1048.0,438000,DB,,,,,13.694214876033062,1,,,,,,1.0,1078.0,1078.0,,,
2025-08-11,1046.6,1048.8,1029.0,1046.1,564000,DB,,,,,14.958677685950414,1,1046.6,1048.8,1019.1,1038.8,1.0,1.0,1078.0,1078.0,,,
2025-08-12,1036.4,1045.0,1019.1,1022.6,1138000,DB,1019.1,,1019.1,low,15.77685950413223,0,,,,,,1.0,1078.0,1078.0,,,
2025-08-13,1025.4,1042.9,1019.1,1032.7,586000,ISB,,,,,15.77685950413223,0,,,,,,1.0,1078.0,1078.0,,,
