date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-12-01 09:15:00,1050.0,1057.0,1034.7,1051.5,1915800,DB,,,,,,0,,,,,,,,,,,
2025-12-01 09:30:00,1051.5,1052.0,1045.9,1050.3,243000,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 09:45:00,1050.3,1051.0,1046.0,1047.0,118800,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 10:00:00,1047.0,1048.9,1044.8,1047.6,200400,ISB,,,,,,1,,,,,,,,,,,
2025-12-01 10:15:00,1047.6,1051.2,1047.6,1050.6,81000,ISB,,,,,,1,,,,,,,,,,,
2025-12-01 10:30:00,1050.6,1050.6,1045.0,1045.9,126600,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 10:45:00,1045.9,1046.0,1040.0,1041.9,303600,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 11:00:00,1041.9,1042.0,1039.0,1040.7,148200,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 11:15:00,1040.7,1047.2,1039.6,1045.7,143400,ISB,,,,,,1,,,,,,,,,,,
2025-12-01 11:30:00,1045.7,1052.7,1043.3,1046.0,357600,ISB,,,,,,1,,,,,,,,,,,
2025-12-01 11:45:00,1046.0,1046.0,1041.0,1043.9,99000,ISB,,,,,,1,,,,,,,,,,,
2025-12-01 12:00:00,1043.9,1043.9,1036.5,1037.6,151800,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 12:15:00,1037.6,1037.6,1036.0,1036.3,183000,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 12:30:00,1036.3,1036.4,1032.1,1034.2,263400,DB,1032.1,,1032.1,low,,0,,,,,,-1.0,1032.1,0.0,,1032.1,1032.1
2025-12-01 12:45:00,1034.2,1042.5,1034.2,1042.0,189000,DB,,,,,,0,,,,,,1.0,0.0,,1032.1,0.0,0.0
2025-12-01 13:00:00,1042.0,1050.9,1042.0,1050.4,445200,DB,1050.9,1050.9,,high,,0,,,,,,-1.0,1032.1,,1032.1,,
2025-12-01 13:15:00,1050.4,1050.7,1045.0,1045.2,234600,ISB,,,,,,0,,,,,,-1.0,1032.1,,1032.1,,
2025-12-01 13:30:00,1045.2,1048.0,1044.5,1047.0,40800,ISB,,,,,,0,,,,,,-1.0,1032.1,,1032.1,,
2025-12-01 13:45:00,1047.0,1048.0,1045.5,1045.5,39600,ISB,,,,,,0,,,,,,-1.0,1032.1,,1032.1,,
2025-12-01 14:00:00,1045.5,1047.4,1044.5,1044.8,79800,ISB,,,,,0.6657156443176415,1,,,,,,-1.0,1032.1,,1032.1,,
2025-12-01 14:15:00,1044.8,1047.1,1043.9,1046.8,44400,ISB,,,,,0.609349709606766,1,,,,,,-1.0,1032.1,,1032.1,,
2025-12-01 14:30:00,1046.8,1046.8,1042.1,1042.5,56400,ISB,,,,,0.8090614886731393,0,,,,,,-1.0,1032.1,,1032.1,,
2025-12-01 14:45:00,1042.5,1043.8,1038.9,1040.3,122400,DB,1038.9,,1038.9,low,1.1136493432324213,0,,,,,,-1.0,1032.1,,1038.9,,
2025-12-01 15:00:00,1040.3,1044.6,1040.3,1044.3,74400,DB,,,,,0.980392156862741,0,,,,,,-1.0,1038.9,,1038.9,,
2025-12-01 15:15:00,1044.8,1052.0,1039.9,1045.5,754200,OSB,1052.0,1052.0,,high,0.5736686107658475,1,,,,,,-1.0,1038.9,,1038.9,,
2025-12-02 09:15:00,1038.9,1045.8,1035.0,1040.6,342600,DB,,,,,0.6622516556291478,1,,,,,,-1.0,1038.9,1052.0,,1038.9,1038.9
2025-12-02 09:30:00,1040.6,1041.0,1036.6,1037.1,100800,ISB,,,,,0.8986615678776377,0,,,,,,1.0,1052.0,1052.0,,,
2025-12-02 09:45:00,1037.1,1038.6,1036.3,1037.8,86400,ISB,,,,,0.9273422562141534,0,,,,,,1.0,1052.0,1052.0,,,
2025-12-02 10:00:00,1037.8,1039.1,1030.0,1032.0,280200,DB,,,,,1.5296367112810707,0,,,,,,1.0,1052.0,1052.0,,,
2025-12-02 10:15:00,1032.0,1034.3,1027.5,1034.2,261600,DB,1027.5,,1027.5,low,1.571031708018018,0,,,,,,1.0,1052.0,1052.0,,,
2025-12-02 10:30:00,1034.2,1035.8,1033.2,1034.8,61200,DB,,,,,0.4240555127216523,0,,,,,,1.0,1052.0,1052.0,,,
2025-12-02 10:45:00,1034.8,1036.3,1034.0,1036.3,33600,DB,,,,,0.22194345266814192,1,,,,,,1.0,1052.0,1052.0,,,
2025-12-02 11:00:00,1036.3,1037.7,1035.0,1035.0,23400,DB,1037.7,1037.7,,high,0.0,1,,,,,,1.0,1052.0,1037.7,,,
2025-12-02 11:15:00,1035.0,1036.2,1029.0,1031.0,213000,DB,,,,,2.037319116527046,0,,,,,,1.0,1037.7,1037.7,,,
2025-12-02 11:30:00,1031.0,1036.8,1028.9,1033.1,102600,OSB,,,,,2.046839299314547,0,,,,,,1.0,1037.7,1037.7,,,
2025-12-02 11:45:00,1033.1,1034.0,1030.0,1030.7,37800,ISB,,,,,1.6236867239732569,1,,,,,,1.0,1037.7,1037.7,,,
2025-12-02 12:00:00,1030.7,1031.3,1027.6,1028.5,231000,DB,,,,,1.8529130850047841,1,,,,,,1.0,1037.7,1037.7,,,
2025-12-02 12:15:00,1028.5,1029.9,1025.5,1029.0,84600,DB,1025.5,,1025.5,low,1.912960306073649,1,,,,,,1.0,1037.7,1037.7,,,
2025-12-02 12:30:00,1029.0,1030.3,1027.1,1027.4,65400,DB,1030.3,1030.3,,high,1.8819258693160152,1,,,,,,1.0,1037.7,1030.3,,,
2025-12-02 12:45:00,1027.4,1029.5,1025.9,1029.5,76200,DB,1025.9,,1025.9,low,1.996560947649968,1,,,,,,1.0,1030.3,1030.3,,,
2025-12-02 13:00:00,1029.5,1029.9,1027.8,1028.6,30600,DB,1029.9,1029.9,,high,1.4100719424460475,1,,,,,,1.0,1030.3,1029.9,,,
2025-12-02 13:15:00,1028.6,1029.1,1025.9,1026.0,28800,DB,,,,,1.8747010999521672,0,,,,,,1.0,1029.9,1029.9,,,
2025-12-02 13:30:00,1026.0,1026.4,1024.1,1026.4,55800,DB,1024.1,,1024.1,low,2.0468675274988133,0,,,,,,1.0,1029.9,1029.9,,,
2025-12-02 13:45:00,1026.4,1029.1,1025.8,1029.0,43200,DB,1029.1,1029.1,,high,1.8842659014825487,0,,,,,,1.0,1029.9,1029.1,,,
2025-12-02 14:00:00,1029.0,1029.0,1025.4,1025.8,21600,DB,,,,,1.460695752450492,0,,,,,,1.0,1029.1,1029.1,,,
