date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-12-01 09:15:00,552.7,553.55,550.95,552.2,215250,DB,553.55,553.55,,high,,0,,,,,,,,,,,
2025-12-01 09:30:00,552.2,552.2,550.65,551.45,85050,DB,,,,,,0,,,,,,1.0,553.55,553.55,,,
2025-12-01 09:45:00,551.25,551.75,550.2,550.25,75600,DB,,,,,,0,,,,,,1.0,553.55,553.55,,,
2025-12-01 10:00:00,550.25,551.2,548.9,549.5,79800,DB,,,,,,0,,,,,,1.0,553.55,553.55,,,
2025-12-01 10:15:00,549.5,550.25,549.5,549.85,50400,ISB,,,,,,0,,,,,,1.0,553.55,553.55,,,
2025-12-01 10:30:00,549.85,550.3,549.5,549.55,50400,ISB,,,,,,1,,,,,,1.0,553.55,553.55,,,
2025-12-01 10:45:00,549.55,549.7,548.2,548.55,71400,DB,,,,,,1,,,,,,1.0,553.55,553.55,,,
2025-12-01 11:00:00,548.55,549.05,548.05,549.05,100800,DB,548.05,,548.05,low,,0,,,,,,1.0,553.55,553.55,,,
2025-12-01 11:15:00,549.05,550.5,549.0,550.25,90300,DB,550.5,550.5,,high,,0,,,,,,1.0,553.55,550.5,,,
2025-12-01 11:30:00,550.25,550.3,549.1,549.1,39900,ISB,,,,,,0,,,,,,1.0,550.5,550.5,,,
2025-12-01 11:45:00,549.1,549.1,548.2,548.75,49350,DB,,,,,,0,,,,,,1.0,550.5,550.5,,,
2025-12-01 12:00:00,548.75,548.9,548.0,548.1,39900,DB,,,,,,0,,,,,,1.0,550.5,550.5,,,
2025-12-01 12:15:00,548.1,548.6,547.65,548.4,56700,DB,547.65,,547.65,low,,0,,,,,,1.0,550.5,550.5,,,
2025-12-01 12:30:00,548.4,548.5,547.75,547.9,40950,ISB,,,,,,1,,,,,,1.0,550.5,550.5,,,
2025-12-01 12:45:00,547.9,549.0,547.9,548.7,36750,DB,549.0,549.0,,high,,1,,,,,,1.0,550.5,549.0,,,
2025-12-01 13:00:00,548.7,549.0,548.0,548.45,32550,ISB,,,,,,1,,,,,,1.0,549.0,,547.65,549.0,549.0
2025-12-01 13:15:00,548.45,549.0,548.05,548.05,10500,ISB,,,,,,1,,,,,,-1.0,547.65,,547.65,,
2025-12-01 13:30:00,548.05,548.95,547.5,548.9,44100,DB,547.5,,547.5,low,,1,,,,,,-1.0,547.65,549.0,,547.65,547.65
2025-12-01 13:45:00,548.9,549.15,548.35,548.35,14700,DB,,,,,,1,,,,,,1.0,549.0,,547.5,549.0,549.0
2025-12-01 14:00:00,548.35,549.2,548.25,548.35,68250,OSB,549.2,549.2,,high,0.7153205360376758,1,,,,,,-1.0,547.5,,547.5,,
2025-12-01 14:15:00,548.4,548.65,548.0,548.65,58800,DB,,,,,0.6256233566053214,1,,,,,,-1.0,547.5,,547.5,,
2025-12-01 14:30:00,548.65,548.65,547.55,547.8,40950,DB,,,,,0.490686051794647,1,,,,,,-1.0,547.5,,547.5,,
2025-12-01 14:45:00,547.8,547.8,546.4,546.6,129150,DB,,,,,0.627443848322278,0,,,,,,-1.0,547.5,549.2,,547.5,547.5
2025-12-01 15:00:00,546.6,547.0,546.3,546.75,187950,DB,546.3,,546.3,low,0.6456306265345219,0,,,,,,1.0,549.2,549.2,,,
2025-12-01 15:15:00,546.75,547.0,546.35,546.65,249900,ISB,,,,,0.5822946046765411,0,,,,,,1.0,549.2,549.2,,,
2025-12-02 09:15:00,546.8,549.55,546.1,548.8,266700,OSB,549.55,549.55,,high,0.49198250728861737,0,,,,,,1.0,549.2,,546.3,549.2,549.2
2025-12-02 09:30:00,548.8,548.9,547.35,547.85,98700,ISB,,,,,0.5270331667423858,0,,,,,,-1.0,546.3,,546.3,,
2025-12-02 09:45:00,547.85,547.9,545.15,545.4,72450,DB,545.15,,545.15,low,0.9268514311676551,0,,,,,,-1.0,546.3,549.55,,546.3,546.3
2025-12-02 10:00:00,545.4,546.25,545.35,546.25,54600,ISB,,,,,0.6829357129848843,0,,,,,,1.0,549.55,549.55,,,
2025-12-02 10:15:00,546.25,547.9,545.35,547.8,149100,ISB,,,,,0.6195899772209525,0,,,,,,1.0,549.55,549.55,,,
2025-12-02 10:30:00,547.8,548.75,547.75,548.35,53550,DB,,,,,0.10941916659068526,0,,,,,,1.0,549.55,549.55,,,
2025-12-02 10:45:00,548.35,549.1,548.0,548.8,64050,DB,,,,,0.14577259475217832,0,,,,,,1.0,549.55,549.55,,,
2025-12-02 11:00:00,548.8,549.6,548.4,549.25,80850,DB,549.6,549.6,,high,0.154756486117437,1,,,,,,1.0,549.55,,545.15,549.55,549.55
2025-12-02 11:15:00,549.25,549.5,548.4,548.45,44100,ISB,,,,,0.0546746856205701,1,,,,,,-1.0,545.15,,545.15,,
2025-12-02 11:30:00,548.45,549.2,548.25,548.8,13650,DB,548.25,,548.25,low,0.10021865889211999,1,,,,,,-1.0,545.15,,548.25,,
2025-12-02 11:45:00,548.8,549.5,548.35,549.05,59850,DB,,,,,0.12749294235496436,1,,,,,,-1.0,548.25,,548.25,,
2025-12-02 12:00:00,549.05,550.0,548.9,549.95,72450,DB,550.0,550.0,,high,0.19092644785890864,0,,,,,,-1.0,548.25,,548.25,,
2025-12-02 12:15:00,549.95,550.0,549.2,549.5,39900,ISB,,,,,0.05459508644221193,0,,,,,,-1.0,548.25,,548.25,,
2025-12-02 12:30:00,549.5,549.7,548.75,549.0,35700,DB,,,,,0.04553734061930783,1,,,,,,-1.0,548.25,,548.25,,
2025-12-02 12:45:00,549.0,549.3,547.05,547.6,61950,DB,,,,,0.29162489747562614,0,,,,,,-1.0,548.25,550.0,,548.25,548.25
2025-12-02 13:00:00,547.6,547.75,546.4,547.55,200550,DB,546.4,,546.4,low,0.2555677254472394,0,,,,,,1.0,550.0,550.0,,,
2025-12-02 13:15:00,547.55,547.8,546.5,547.05,232050,DB,547.8,547.8,,high,0.10053925600949723,0,,,,,,1.0,550.0,547.8,,,
2025-12-02 13:30:00,547.05,547.05,545.95,546.4,80850,DB,,,,,0.5193148688046482,1,,,,,,1.0,547.8,547.8,,,
2025-12-02 13:45:00,546.4,547.0,546.4,546.65,157500,ISB,,,,,0.4373177842565556,0,,,,,,1.0,547.8,547.8,,,
2025-12-02 14:00:00,546.65,546.9,546.1,546.2,73500,ISB,,,,,0.49198250728861737,1,,,,,,1.0,547.8,547.8,,,
2025-12-02 14:15:00,546.2,546.45,546.1,546.2,33600,ISB,,,,,0.31943050104955734,1,,,,,,1.0,547.8,547.8,,,
2025-12-02 14:30:00,546.2,546.45,545.5,545.85,63000,DB,,,,,0.06412017953650687,0,,,,,,1.0,547.8,547.8,,,
2025-12-02 14:45:00,545.85,546.25,544.2,545.6,189000,DB,544.2,,544.2,low,0.9194355939917986,1,,,,,,1.0,547.8,547.8,,,
2025-12-02 15:00:00,545.6,546.95,545.35,546.65,123900,DB,,,,,0.710059171597629,1,,,,,,1.0,547.8,547.8,,,
2025-12-02 15:15:00,546.6,547.3,546.3,547.3,117600,DB,547.3,547.3,,high,0.5370960400546282,0,,,,,,1.0,547.8,547.3,,,
2025-12-03 09:15:00,547.5,547.8,543.1,543.15,289800,OSB,547.8,547.8,,high,1.1197086936731866,0,,,,,,1.0,547.3,,544.2,547.3,547.3
2025-12-03 09:30:00,543.15,544.35,542.9,544.15,151200,DB,,,,,1.1561219845243556,0,,,,,,-1.0,544.2,547.8,,544.2,544.2
2025-12-03 09:45:00,544.15,544.2,543.25,543.6,61950,ISB,,,,,1.2182925720520128,0,,,,,,1.0,547.8,547.8,,,
2025-12-03 10:00:00,543.6,543.65,541.75,542.1,105000,DB,,,,,1.4910446404218647,1,,,,,,1.0,547.8,547.8,,,
2025-12-03 10:15:00,542.1,542.6,541.6,542.2,92400,DB,,,,,1.5183198472588457,0,,,,,,1.0,547.8,547.8,,,
2025-12-03 10:30:00,542.2,542.2,538.5,538.75,409500,DB,,,,,2.08200745522321,0,,,,,,1.0,547.8,547.8,,,
2025-12-03 10:45:00,538.75,539.45,538.2,538.55,52500,DB,538.2,,538.2,low,2.056414922656953,0,,,,,,1.0,547.8,547.8,,,
2025-12-03 11:00:00,538.55,539.5,538.25,539.1,61950,DB,,,,,1.9581056466302367,0,,,,,,1.0,547.8,547.8,,,
2025-12-03 11:15:00,539.1,539.65,538.35,539.35,119700,DB,,,,,1.6891891891891893,1,,,,,,1.0,547.8,547.8,,,
2025-12-03 11:30:00,539.35,539.9,539.0,539.5,129150,DB,,,,,1.561501232764123,1,,,,,,1.0,547.8,547.8,,,
2025-12-03 11:45:00,539.5,539.75,539.0,539.15,43050,ISB,,,,,1.4715291106845727,1,,,,,,1.0,547.8,547.8,,,
2025-12-03 12:00:00,539.15,540.05,538.9,538.95,239400,OSB,540.05,540.05,,high,1.4177261501875058,1,,,,,,1.0,547.8,540.05,,,
2025-12-03 12:15:00,538.95,539.0,538.55,538.6,53550,DB,538.55,,538.55,low,1.4817524924540424,0,,,,,,1.0,540.05,540.05,,,
2025-12-03 12:30:00,538.6,540.9,538.4,539.4,210000,OSB,540.9,540.9,,high,1.4280483339436227,1,,,,,,1.0,540.05,,538.55,540.05,540.05
2025-12-03 12:45:00,539.4,539.4,538.5,539.0,39900,ISB,,,,,1.4097400219699825,1,,,,,,-1.0,538.55,540.9,,538.55,538.55
2025-12-03 13:00:00,539.0,539.0,538.45,538.8,18900,ISB,,,,,1.5000457331016066,1,,,,,,1.0,540.9,540.9,,,
2025-12-03 13:15:00,538.8,538.8,538.05,538.15,46200,DB,,,,,1.6901151105426644,0,,,,,,1.0,540.9,540.9,,,
2025-12-03 13:30:00,538.15,538.6,537.9,538.2,63000,DB,,,,,1.7175223826055142,0,,,,,,1.0,540.9,540.9,,,
2025-12-03 13:45:00,538.2,538.2,537.45,537.9,29400,DB,537.45,,537.45,low,1.7997441987940634,0,,,,,,1.0,540.9,540.9,,,
2025-12-03 14:00:00,537.9,538.6,537.45,538.55,34650,DB,,,,,1.2312781402186772,1,,,,,,1.0,540.9,540.9,,,
2025-12-03 14:15:00,538.55,539.55,537.75,537.75,47250,DB,539.55,539.55,,high,1.176146283193968,1,,,,,,1.0,540.9,539.55,,,
2025-12-03 14:30:00,537.75,538.45,537.75,538.35,50400,ISB,,,,,1.076158940397355,1,,,,,,1.0,539.55,539.55,,,
2025-12-03 14:45:00,538.35,538.35,536.9,537.05,105000,DB,536.9,,536.9,low,0.9774990778310712,0,,,,,,1.0,539.55,539.55,,,
2025-12-03 15:00:00,537.2,538.85,537.0,538.7,171150,DB,,,,,0.9590556990040658,0,,,,,,1.0,539.55,539.55,,,
2025-12-03 15:15:00,538.7,539.7,538.5,539.6,176400,DB,539.7,539.7,,high,0.2038547071905157,0,,,,,,1.0,539.55,,536.9,539.55,539.55
2025-12-04 09:15:00,535.25,540.45,535.2,539.3,154350,OSB,535.2,,535.2,low,0.7602447617281494,0,,,,,,-1.0,536.9,539.7,,536.9,536.9
2025-12-04 09:30:00,539.3,543.4,539.3,542.55,235200,DB,,,,,0.5990231315086167,0,,,,,,1.0,539.7,,535.2,539.7,539.7
2025-12-04 09:45:00,542.55,544.35,542.0,543.25,160650,DB,,,,,0.23009664058904739,0,,,,,,-1.0,535.2,,535.2,,
2025-12-04 10:00:00,543.25,545.4,543.25,544.55,280350,DB,545.4,545.4,,high,0.23872922596638596,0,,,,,,-1.0,535.2,,535.2,,
2025-12-04 10:15:00,544.55,544.55,543.4,544.4,53550,ISB,,,,,0.18368846436443792,1,,,,,,-1.0,535.2,,535.2,,
2025-12-04 10:30:00,544.4,544.9,543.6,544.0,74550,ISB,,,,,0.07352941176470171,1,,,,,,-1.0,535.2,,535.2,,
2025-12-04 10:45:00,544.0,544.0,542.5,543.3,69300,DB,,,,,0.1472482974415525,1,,,,,,-1.0,535.2,,535.2,,
2025-12-04 11:00:00,543.3,543.75,541.25,542.1,68250,DB,,,,,0.1567976388120315,0,,,,,,-1.0,535.2,,535.2,,
2025-12-04 11:15:00,542.1,542.35,541.2,541.8,37800,DB,,,,,0.1107419712070707,0,,,,,,-1.0,535.2,,535.2,,
2025-12-04 11:30:00,541.8,541.8,540.7,541.05,49350,DB,540.7,,540.7,low,0.06468903058865338,0,,,,,,-1.0,535.2,,540.7,,
2025-12-04 11:45:00,541.05,541.75,540.75,540.75,63000,ISB,,,,,0.0,1,,,,,,-1.0,540.7,,540.7,,
2025-12-04 12:00:00,540.75,541.9,540.75,541.9,15750,DB,,,,,0.2122162760656906,0,,,,,,-1.0,540.7,,540.7,,
2025-12-04 12:15:00,541.9,542.9,541.3,542.6,58800,DB,542.9,542.9,,high,0.23958717287137268,0,,,,,,-1.0,540.7,,540.7,,
2025-12-04 12:30:00,542.6,542.6,542.1,542.1,36750,ISB,,,,,0.0,0,,,,,,-1.0,540.7,,540.7,,
2025-12-04 12:45:00,542.1,542.1,541.15,541.6,55650,DB,,,,,0.08308714918760071,1,,,,,,-1.0,540.7,,540.7,,
2025-12-04 13:00:00,541.6,542.0,541.35,541.75,18900,ISB,,,,,0.07383479464697319,0,,,,,,-1.0,540.7,,540.7,,
2025-12-04 13:15:00,541.75,541.75,531.1,539.85,820050,DB,531.1,,531.1,low,1.6208205983143467,1,,,,,,-1.0,540.7,542.9,,540.7,540.7
2025-12-04 13:30:00,539.85,540.35,537.65,537.95,184800,ISB,,,,,0.3613787991104606,0,,,,,,1.0,542.9,542.9,,,
2025-12-04 13:45:00,537.95,538.5,537.5,537.9,49350,ISB,,,,,0.9307897889595346,0,,,,,,1.0,542.9,542.9,,,
2025-12-04 14:00:00,537.9,539.35,537.85,539.3,76650,ISB,,,,,1.230373703057558,1,,,,,,1.0,542.9,542.9,,,
