date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2024-06-03,1201.0,1247.7,1198.95,1230.85,32022500,DB,1247.7,1247.7,,high,,0,1201.0,1247.7,1094.75,1190.95,0.0,,,,,,
2024-06-04,1219.9,1230.5,1094.75,1133.4,47139375,DB,1094.75,,1094.75,low,,0,,,,,,1.0,1247.7,1247.7,,,
2024-06-05,1138.0,1194.7,1115.9,1186.0,29232500,ISB,,,,,,0,,,,,,1.0,1247.7,1247.7,,,
2024-06-06,1193.9,1198.0,1168.7,1176.9,16035625,ISB,,,,,,0,,,,,,1.0,1247.7,1247.7,,,
2024-06-07,1179.9,1196.9,1171.05,1190.95,14771250,ISB,,,,,,1,,,,,,1.0,1247.7,1247.7,,,
2024-06-10,1190.65,1213.55,1190.65,1200.8,14908750,ISB,,,,,,1,1190.65,1213.55,1173.15,1181.45,0.0,1.0,1247.7,1247.7,,,
2024-06-11,1202.85,1211.5,1191.9,1196.6,9566250,ISB,,,,,,1,,,,,,1.0,1247.7,1247.7,,,
2024-06-12,1199.9,1207.3,1188.7,1191.8,13945000,ISB,,,,,,1,,,,,,1.0,1247.7,1247.7,,,
2024-06-13,1199.8,1203.65,1177.9,1178.95,8125625,ISB,,,,,,0,,,,,,1.0,1247.7,1247.7,,,
2024-06-14,1182.55,1187.2,1173.15,1181.45,8215000,ISB,,,,,,1,,,,,,1.0,1247.7,1247.7,,,
2024-06-18,1192.45,1193.4,1182.25,1192.2,7886250,ISB,,,,,,1,,,,,,1.0,1247.7,1247.7,,,
2024-06-19,1192.0,1243.0,1185.9,1228.0,49059375,DB,,,,,,0,,,,,,1.0,1247.7,1247.7,,,
2024-06-20,1233.8,1240.4,1220.9,1238.85,14264375,ISB,,,,,,0,,,,,,1.0,1247.7,1247.7,,,
2024-06-21,1241.1,1243.75,1226.5,1237.1,15047500,DB,1243.75,1243.75,,high,,0,,,,,,1.0,1247.7,1243.75,,,
2024-06-24,1232.0,1235.0,1226.25,1229.8,19546875,DB,1226.25,,1226.25,low,,1,1232.0,1306.7,1226.05,1272.35,0.0,1.0,1243.75,1243.75,,,
2024-06-25,1226.05,1274.3,1226.05,1268.0,25324375,OSB,1226.05,,1226.05,low,,0,,,,,,1.0,1243.75,,1226.05,1243.75,1243.75
2024-06-26,1270.3,1289.35,1257.15,1280.75,20950000,DB,,,,,,0,,,,,,-1.0,1226.05,,1226.05,,
2024-06-27,1306.7,1306.7,1277.4,1285.7,12095625,DB,1306.7,1306.7,,high,,0,,,,,,-1.0,1226.05,,1226.05,,
2024-06-28,1282.05,1295.7,1269.9,1272.35,16025000,DB,,,,,,1,,,,,,-1.0,1226.05,,1226.05,,
2024-07-01,1274.95,1277.0,1262.05,1265.25,9903750,DB,,,,,0.2529144437858167,1,1274.95,1297.0,1244.05,1289.05,0.0,-1.0,1226.05,,1226.05,,
2024-07-02,1268.65,1269.85,1244.05,1256.7,23181875,DB,1244.05,,1244.05,low,1.0066045993475046,0,,,,,,-1.0,1226.05,,1244.05,,
2024-07-03,1265.0,1289.9,1246.7,1280.9,30185625,DB,,,,,2.6699976578967948,1,,,,,,-1.0,1244.05,,1244.05,,
2024-07-04,1288.95,1294.7,1273.9,1283.0,11794375,DB,,,,,0.7092751363990576,0,,,,,,-1.0,1244.05,,1244.05,,
2024-07-05,1277.95,1297.0,1274.0,1289.05,19662500,DB,,,,,1.167526472983977,0,,,,,,-1.0,1244.05,,1244.05,,
2024-07-08,1288.5,1301.5,1282.0,1292.5,11117500,DB,1301.5,1301.5,,high,0.8123791102514507,1,1288.5,1337.45,1277.5,1316.25,0.0,-1.0,1244.05,,1244.05,,
2024-07-09,1287.5,1297.8,1284.05,1291.85,8215625,ISB,,,,,0.6037852691875958,1,,,,,,-1.0,1244.05,,1244.05,,
2024-07-10,1291.2,1296.05,1278.0,1291.85,18260000,DB,,,,,1.0721058946472044,1,,,,,,-1.0,1244.05,,1244.05,,
2024-07-11,1297.2,1301.25,1277.5,1295.65,15385625,OSB,1277.5,,1277.5,low,1.4008412765793299,1,,,,,,-1.0,1244.05,,1277.5,,
2024-07-12,1290.25,1337.45,1290.25,1316.25,25066875,DB,1337.45,1337.45,,high,1.9753086419753085,1,,,,,,-1.0,1277.5,,1277.5,,
2024-07-15,1317.55,1323.5,1305.5,1312.2,21465000,ISB,,,,,0.5105928974241767,1,1317.55,1323.5,1290.8,1294.3,1.0,-1.0,1277.5,,1277.5,,
2024-07-16,1308.8,1316.3,1300.15,1305.55,12261875,ISB,,,,,0.4136187813565059,1,,,,,,-1.0,1277.5,,1277.5,,
2024-07-18,1308.3,1318.9,1298.35,1311.45,14312500,ISB,,,,,0.9988943535781108,1,,,,,,-1.0,1277.5,,1277.5,,
2024-07-19,1305.4,1307.8,1290.8,1294.3,13368125,ISB,,,,,0.2704164413196322,1,,,,,,-1.0,1277.5,,1277.5,,
2024-07-22,1290.0,1292.5,1280.5,1284.1,22314375,DB,,,,,0.2803519975079752,0,1290.0,1292.5,1154.55,1184.45,0.0,-1.0,1277.5,,1277.5,,
