date,open,high,low,close
2023-07-19,45650,45748.8,45486.3,45717.6
2023-07-18,45750,45925,45356,45484.5
2023-07-17,44960.1,45588.2,44777.9,45504.9
2023-07-14,44882.2,44965,44674.6,44902.7
2023-07-13,45098.9,45133.7,44728.2,44776.4
2023-07-12,44955.6,45017.7,44750,44803.3
2023-07-11,45051.1,45180,44786.6,44871.5
2023-07-10,45045,45249.6,44814.5,44945
2023-07-07,45225,45299.5,44920,45029.6
2023-07-06,45190,45460.6,45130.1,45411.2
2023-07-05,45299.8,45480,45175,45237.3
2023-07-04,45366.6,45747.8,45092.3,45364.5
2023-07-03,44989,45445,44906.2,45274.1
2023-06-30,44625.5,44893.2,44551.1,44850.5
2023-06-28,44226.2,44520,44134.1,44316.3
2023-06-27,43769.2,44155,43701,44089.5
2023-06-26,43313.3,43770,43313.3,43687
2023-06-23,43710,43850,43563.1,43671.7
2023-06-22,43944.9,44082.1,43713.6,43774
2023-06-21,43900.5,44026.7,43775,43940.1
2023-06-20,43750,43915,43450.1,43864.8
2023-06-19,44086.1,44124.4,43625.2,43788.1
2023-06-16,43657.1,44234.9,43600,44042.6
2023-06-15,44150,44180,43526,43570.1
2023-06-14,44310.1,44310.1,44055,44144.2
2023-06-13,44050,44247,44048,44216.7
2023-06-12,44160,44174.6,43991.6,44097.6
2023-06-09,44178.2,44325.9,44042.4,44118
2023-06-08,44399,44545.5,44069.7,44147.4
2023-06-07,44400,44424.8,44300,44394.4
2023-06-06,44282,44350,44150,44309.1
2023-06-05,44242,44411,44202.7,44286.2
2023-06-02,44115,44271.5,43950,44110.6
2023-06-01,44226,44290,43861,43948.2
2023-05-31,44377.7,44425,43986.2,44241.7
2023-05-30,44325,44496.5,44280.1,44466.3
2023-05-29,44225,44525,44200,44368.3
2023-05-26,43785,44149,43658,44068.3
2023-05-25,43650,43750,43385.6,43692.3
2023-05-24,43825.4,44014.6,43679.2,43719.2
2023-05-23,43953.2,44080,43902,43981.5
2023-05-22,43989.9,44020,43701.2,43922.8
2023-05-19,43900,44016.8,43524.3,43967.2
2023-05-18,43792,44057.8,43712.7,43775.5
2023-05-17,43880.6,43955,43465,43721.2
2023-05-16,44050.1,44114.7,43842.9,43903.2
2023-05-15,43757.2,44075,43630.1,43999.8
2023-05-12,43455.3,43872,43331.1,43757.2
2023-05-11,43490,43644.8,43360,43461.8
2023-05-10,43190,43350,42849.1,43315
2023-05-09,43405,43515,43127.8,43202.2
2023-05-08,42790,43450,42750.1,43316
2023-05-05,43225,43584.3,42630,42712.2
2023-05-04,43212.7,43695,43212.7,43657.8
2023-05-03,43152,43348,43117,43311.6
2023-05-02,43360,43479,43255.7,43367.2
2023-04-28,43039.9,43273.1,42875.1,43217.4
2023-04-27,42820.5,43036.2,42748.1,43003.1
2023-04-26,42595,42858.2,42450,42823.2
2023-04-25,42700.5,42852,42615,42696.8
2023-04-24,42355.5,42712.5,42280,42652.3
2023-04-21,42200,42390.7,41961.2,42146
2023-04-20,42229.3,42381.7,42126.2,42276.5
2023-04-19,42297.5,42375.8,42064.8,42178.4
2023-04-18,42449,42538,42156,42335.5
2023-04-17,42640,42640,41858.2,42343.7
2023-04-13,41721.1,42230,41580,42189.7
2023-04-12,41501.2,41665,41459.6,41637.8
2023-04-11,41305,41517.7,41075,41487.2
2023-04-10,41239.6,41239.7,40866.4,40978.2
2023-04-06,41001,41425,40990,41169.7
2023-04-05,41125.1,41239,40967,41142.3
2023-04-03,40899.9,41050,40769.9,41013.9
2023-03-31,40498,40912.9,40446,40833.6
2023-03-29,39625.6,39957.4,39619.2,39867.6
2023-03-28,39586,39645.7,39383.3,39588.8
2023-03-27,39449,39750,39337.2,39486.4
2023-03-24,39619.4,39834,39348,39423.8
2023-03-23,39955.2,40273,39619.5,39703.8
2023-03-22,40187.3,40198,39971,40119.3
2023-03-21,39655.6,40129.5,39490,40046.8
2023-03-20,39760.2,39760.2,39077.3,39482.3
2023-03-17,39660,39847.3,39136.8,39740.4
2023-03-16,39179.9,39598.8,38831.5,39396.2
2023-03-15,39980,40056.3,39108,39220.9
2023-03-14,39735.7,39949.8,39314.8,39643.4
2023-03-13,40500,40834.6,39586.7,39705.6
2023-03-10,40945,41050,40462.5,40614.5
2023-03-09,41721.2,41765,41368.7,41409
2023-03-08,41348.8,41749.1,41242.6,41706.3
2023-03-06,41599.7,41799,41425.3,41517.8
2023-03-03,40785.5,41560,40755.3,41423.3
2023-03-02,40820.1,40970,40550,40627.8
2023-03-01,40600.1,40943,40522.4,40910.5
2023-02-28,40600,40651,40280,40487.6
2023-02-27,40075.1,40600,39982.5,40547.7
2023-02-24,40455.3,40622,40061.7,40172
2023-02-23,40038,40168.9,39597.8,39972.1
2023-02-22,40545,40584.6,39919.7,40038.4
2023-02-21,40820,40985.8,40550.7,40711.2
2023-02-20,41250.2,41317.7,40636.2,40796.1
2023-02-17,41550,41574.8,40950,41205.6
2023-02-16,41977.1,42036.8,41665,41735.8
2023-02-15,41625.8,41849.9,41522.8,41791.3
2023-02-14,41500.2,41788.4,41277,41702.5
2023-02-13,41644.8,41733,41230,41381.9
2023-02-10,41510,41738.6,41510,41648.8
2023-02-09,41600,41752.3,41365,41716.8
2023-02-08,41555.6,41921.3,41520,41674.7
2023-02-07,41605.3,41749.4,41242.3,41641.8
2023-02-06,41660.1,41863,41405,41506.9
2023-02-03,41255,41684.8,40766,41638.2
2023-02-02,40289,41040.9,40005.6,40937.8
2023-02-01,41500,42252,39718.7,40727.5
2023-01-31,40855.6,41169.3,40470,41063.2
2023-01-30,40267.8,41129,39736.2,40704.5
2023-01-27,41740,41800.1,40421.6,40661.8
2023-01-25,42700.1,42705.7,41550,41641.8
2023-01-24,43000,43072,42653.6,42762.2
2023-01-23,42824.4,42995,42725,42862
2023-01-20,42455.1,42709,42335.3,42542
2023-01-19,42450,42558.3,42281,42350
2023-01-18,42401,42611,42216,42523.2
2023-01-17,42205,42489.8,41972.9,42341.3
2023-01-16,42633,42805,42192,42301.2
2023-01-13,42250,42595,42023,42500.3
2023-01-12,42350,42500.9,41910,42213
2023-01-11,42250,42492.8,41880,42393.3
2023-01-10,42700,42774.8,42005.1,42216.7
2023-01-09,42496.4,42908.5,42353,42767.3
2023-01-06,42755.3,42839.8,42052,42358.5
2023-01-05,43255.3,43300,42473.6,42770.9
2023-01-04,43595.2,43710,43031,43136.2
2023-01-03,43388.8,43661,43348.3,43609.3
2023-01-02,43248.1,43535,43136.1,43393.8
2022-12-30,43501.1,43606.2,43002,43165.9
2022-12-29,42710,43265,42486.4,43202.2
2022-12-28,42750,43034.4,42716.2,42835.8
2022-12-27,42805.3,42926.6,42373.1,42852.8
2022-12-26,41800.1,42845,41640.2,42653.9
2022-12-23,42100,42330,41657.5,41735.5
2022-12-22,42930,43084,42330,42471.2
2022-12-21,43530,43688,42446,42765.3
2022-12-20,43390,43488,43045.8,43439.5
2022-12-19,43375.2,43567.2,43235.6,43534.8
2022-12-16,43400,43654.7,43185,43286.8
2022-12-15,44050,44197,43482.3,43576.5
2022-12-14,44199.9,44248.6,44125.2,44166.2
2022-12-13,43927,44092,43900.3,44071
2022-12-12,43625,43935.9,43561,43876.1
2022-12-09,43855.6,43986.7,43551,43773.1
2022-12-08,43225.1,43797,43225.1,43752.5
2022-12-07,43341.6,43541,43177.2,43331.6
2022-12-06,43380,43562,43320,43457.8
2022-12-05,43412.3,43574.8,43211.1,43538.9
2022-12-02,43245,43387.8,43162,43336
2022-12-01,43680.4,43699,43323,43475.2
2022-11-30,43344.4,43525,43152.8,43452.1
2022-11-29,43205,43492.5,43205,43293.8
2022-11-28,43050.1,43400,43050.1,43275.2
2022-11-25,43340,43566.1,43140,43291.8
2022-11-24,42850,43090,42750,43045.6
2022-11-23,42555.6,42866,42552.4,42746.7
2022-11-22,42449,42516.6,42380,42478.8
2022-11-21,42349.8,42420,42255,42366
2022-11-18,42598,42614.1,42294,42505.2
2022-11-17,42472.2,42660,42410.2,42531.6
2022-11-16,42465.1,42666,42421,42579.9
2022-11-15,42305.1,42561.1,42226,42483.7
2022-11-14,42325.1,42371,42100,42202.7
2022-11-11,42350,42438.7,42053.4,42293.3
2022-11-10,41550,41795,41469,41731.1
2022-11-09,42010.2,42098.6,41841.1,41926.4
2022-11-07,41869,41900,41489.7,41845.2
2022-11-04,41505,41646.8,41203.9,41419
2022-11-03,41000.1,41600,40990,41458.7
2022-11-02,41580,41598.3,41232.5,41312.7
2022-11-01,41650,41825.1,41330.6,41477.3
2022-10-31,41399,41522.1,41270,41466.8
2022-10-28,41450,41636.8,41015,41149.5
2022-10-27,41475,41500,41175,41283.3
2022-10-25,41530.8,41540,41035.6,41111.2
2022-10-24,41250,41392.1,41110,41270
2022-10-21,40493.3,41030,40396.5,40788.3
2022-10-20,40198.2,40259,39903.2,40205.3
2022-10-19,40500.1,40668.4,40245.2,40401.8
2022-10-18,40300,40496.8,40214,40380.1
2022-10-17,39350,40045,39223.8,39975.8
2022-10-14,39500,39677.2,39320,39395.3
2022-10-13,39001.1,39166.5,38520.6,38738.7
2022-10-12,38825.1,39270.1,38717,39214.7
2022-10-11,39188,39271.7,38733.3,38810.2
2022-10-10,38743,39447,38610,39216.6
2022-10-07,39228,39374.7,38893.4,39291.1
2022-10-06,39500,39750,39340.1,39378.2
2022-10-04,38776,39348.2,38720.1,39268
2022-10-03,38705.3,38810,38086.4,38159.2
2022-09-30,37859,38988.1,37580.4,38807.3
2022-09-29,38050,38298.3,37524.6,37625.3
2022-09-28,38100,38410,37672,37809.9
2022-09-27,38888,39079,38270,38466.1
2022-09-26,39138,39319.8,38544.3,38678.8
2022-09-23,40520,40568.2,39477.3,39642.8
2022-09-22,40978,41218,40413,40697.3
2022-09-21,41299.8,41550,40940,41245
2022-09-20,41399.6,41724.2,41255.2,41494.8
2022-09-19,40839.8,41267,40591.1,40931.2
2022-09-16,40980,41211.2,40567.6,40837.6
2022-09-15,41519,41855.4,41190.1,41302.6
2022-09-14,40332,41680,40250,41445.2
2022-09-13,40850,40986.3,40783,40941.4
2022-09-12,40642,40770,40459.3,40673.7
2022-09-09,40601.2,40753.1,40362.6,40504.5
2022-09-08,39905,40375,39820.1,40312.4
2022-09-07,39440,39713.3,39340,39592.6
2022-09-06,39980,40174.4,39654.5,39812.2
2022-09-05,39500,39999,39456.8,39920.8
2022-09-02,39520,39715,39311.3,39542.2
2022-09-01,39006,39828.1,38952.2,39466.8
2022-08-30,38607.1,39786.7,38606.2,39707.6
2022-08-29,38315,38560,38129,38441.8
2022-08-26,39272,39525,39037.2,39221.8
2022-08-25,39243.3,39490,38918.8,38988.6
2022-08-24,38650,39150,38622.2,39075.4
2022-08-23,38100,38918,38000,38776.1
2022-08-22,38698.9,38817.3,38268,38332.8
2022-08-19,39760,39794.1,38862.5,39002.3
2022-08-18,39399.8,39784,39330.1,39713.5
2022-08-17,39427.2,39548.9,39260,39513.5
2022-08-16,39310.2,39473,39155,39308.7
2022-08-12,38880,39115,38790,39077.7
2022-08-11,38751.1,38982.1,38694,38943.7
2022-08-10,38330.2,38451,38205.2,38356.7
2022-08-08,37890,38363,37751,38287.8
2022-08-05,37849.7,38185.7,37804.5,37959.5
2022-08-04,38162.3,38270.7,37288.3,37771.5
2022-08-03,37930,38122,37744,38031.8
2022-08-02,37752.1,38232,37667.7,38023.9
2022-08-01,37647.8,37983,37483,37939.4
2022-07-29,37740.5,37800,37282.5,37567.2
2022-07-28,37055,37419.8,37050,37372.8
2022-07-27,36346.3,36800.3,36250,36756.1
2022-07-26,36550,36691,36318.2,36379.1
2022-07-25,36689.8,36988.2,36451.2,36713.5
2022-07-22,36155.6,36829,36155.6,36719.1
2022-07-21,35960,36339.8,35905,36191.2
2022-07-20,36075,36268.7,35900,35966.8
2022-07-19,35194,35795.2,35194,35742.6
2022-07-18,35690,35690,34887.1,35428.6
2022-07-15,34803.3,34944.1,34541,34782.3
2022-07-14,34890.1,35091.5,34623.6,34720.9
2022-07-13,35265.6,35350,34825,34923.1
2022-07-12,35299.7,35471.5,35093.3,35166.7
2022-07-11,35075.6,35599.5,35050,35487.9
2022-07-08,35150,35300,35016,35173.7
2022-07-07,34625,35028,34620,34981.8
2022-07-06,33900,34434,33800.9,34370.1
2022-07-05,34149.9,34399.8,33762.7,33827.2
2022-07-04,33666.1,34055,33601.7,34012.6
2022-07-01,33244.7,33740,33131.6,33638.7
2022-06-30,33202.1,33666,33195,33423.7
2022-06-29,33368.6,33441.9,33216.7,33273.1
2022-06-28,33610.1,33772,33542.3,33678.8
2022-06-27,34180,34180,33761,33862.8
2022-06-24,33433.9,33738,33374.3,33654.2
