Date,Open,High,Low,Close,SSC,plot_dowPeak,plot_dowTrough,last_dow_profit,ATR20,LDV4,LWV4,MVF
19/07/2023,59765,59878,59587,59790,nan,nan,58939,622,443.55,0,0,0.339522
18/07/2023,59215,59910,59215,59763,nan,nan,58120,622,453.5,0,0,0.916955
17/07/2023,59147,59269,58939,59135,58939,nan,58120,622,451.2,1,0,0.331445
14/07/2023,59264,59379,59141,59316,59379,nan,58120,622,445.1,0,0,0.29503
13/07/2023,59230,59375,59122,59239,nan,nan,58120,622,449.25,0,0,0.390875
12/07/2023,58900,59248,58720,59188,nan,nan,58120,622,472.8,0,0,1.06983
11/07/2023,58661,58909,58600,58773,nan,nan,58120,622,462.25,1,0,1.27201
10/07/2023,58739,58739,58403,58689,nan,nan,58120,622,481.85,1,0,1.60391
7/07/2023,58374,58949,58331,58782,nan,58779,58120,622,483.65,1,0,2.19648
6/07/2023,58638,58650,58120,58401,58120,59555,nan,-697,472.2,1,0,2.84348
5/07/2023,58410,58779,58366,58473,58779,59555,nan,-697,476.85,1,0,2.54629
4/07/2023,58275,58545,58265,58409,nan,59555,nan,-697,491.05,1,0,2.71493
3/07/2023,58154,58480,57971,58277,nan,59555,nan,-697,492.45,1,0,3.35751
30/06/2023,57980,58305,57792,58211,nan,59555,nan,-697,484.7,1,0,3.65591
29/06/2023,58000,58140,57651,58014,57651,59555,nan,-697,494.05,1,0,3.89097
28/06/2023,58176,58198,57880,58078,nan,59555,nan,-697,498.15,1,0,3.40293
27/06/2023,58493,58549,58069,58107,nan,59555,nan,-697,507.75,1,0,3.48054
26/06/2023,58429,58670,58352,58412,nan,59555,nan,-697,525.7,1,0,3.01016
23/06/2023,58136,58740,58096,58307,nan,59555,nan,-697,526.1,0,0,3.43567
22/06/2023,58613,58663,58150,58196,nan,59555,nan,-697,515.65,0,1,3.34591
21/06/2023,58824,58865,58375,58714,nan,59555,nan,-697,517.05,0,1,1.82476
20/06/2023,59222,59392,58663,58809,nan,59555,nan,-697,525.75,0,1,1.99967
19/06/2023,59272,59370,59115,59157,nan,60116,nan,-697,514.6,1,1,1.79743
16/06/2023,59340,59555,59234,59354,59555,60116,nan,-697,517.8,1,1,1.67162
15/06/2023,59210,59385,58661,59355,58661,60116,nan,-697,540.2,1,1,2.84536
14/06/2023,59301,59465,59148,59298,nan,60116,nan,-697,534.65,0,1,2.03879
13/06/2023,59755,59885,59184,59218,nan,60116,59401,-697,543.05,0,1,1.59781
12/06/2023,59713,59920,59505,59641,nan,nan,59401,427,573.4,1,1,1.22668
9/06/2023,59934,60116,59727,59821,60116,60098,59401,427,568.55,1,1,2.1302
8/06/2023,59528,60048,59425,59891,nan,60098,nan,97,576.85,1,0,2.62507
7/06/2023,59977,60098,59401,59503,59401,60350,nan,97,580.2,1,0,2.4486
6/06/2023,59869,60074,59766,59985,60074,60350,nan,97,579.1,1,0,2.45471
5/06/2023,59500,59549,59419,59808,59419,60350,nan,97,591.45,1,0,3.25632
2/06/2023,60275,60350,59650,59773,nan,60350,nan,97,596.85,1,0,2.88022
1/06/2023,60057,60271,59700,59919,nan,60490,nan,97,630.8,0,1,2.79881
31/05/2023,59946,60350,59840,60163,60350,60490,nan,97,646.25,0,1,2.68811
30/05/2023,59401,60064,59225,59946,59225,60490,nan,97,645.1,1,1,3.68822
29/05/2023,59406,59631,59260,59419,nan,60490,nan,97,656.7,1,1,3.63131
26/05/2023,59542,59660,59225,59353,nan,60490,nan,97,669,0,1,3.68822
25/05/2023,59700,59955,59363,59460,nan,61498,nan,97,668.5,0,1,0.927919
