date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-12-01 09:00:00,129999.0,130794.0,129999.0,130424.0,613,DB,130794.0,130794.0,,high,,0,,,,,,,,,,,
2025-12-01 09:15:00,130424.0,130444.0,130258.0,130374.0,314,ISB,,,,,,0,,,,,,1.0,130794.0,130794.0,,,
2025-12-01 09:30:00,130374.0,130419.0,130311.0,130400.0,139,ISB,,,,,,0,,,,,,1.0,130794.0,130794.0,,,
2025-12-01 09:45:00,130391.0,130523.0,130391.0,130500.0,240,ISB,,,,,,1,,,,,,1.0,130794.0,130794.0,,,
2025-12-01 10:00:00,130500.0,130630.0,130476.0,130550.0,353,ISB,,,,,,0,,,,,,1.0,130794.0,130794.0,,,
2025-12-01 10:15:00,130550.0,130767.0,130550.0,130725.0,367,ISB,,,,,,0,,,,,,1.0,130794.0,130794.0,,,
2025-12-01 10:30:00,130725.0,130766.0,130224.0,130328.0,403,ISB,,,,,,0,,,,,,1.0,130794.0,130794.0,,,
2025-12-01 10:45:00,130328.0,130383.0,129900.0,130003.0,706,DB,129900.0,,129900.0,low,,0,,,,,,1.0,130794.0,130794.0,,,
2025-12-01 11:00:00,130000.0,130269.0,129969.0,130170.0,297,ISB,,,,,,0,,,,,,1.0,130794.0,130794.0,,,
2025-12-01 11:15:00,130167.0,130340.0,130130.0,130336.0,217,ISB,,,,,,1,,,,,,1.0,130794.0,130794.0,,,
2025-12-01 11:30:00,130336.0,130794.0,130325.0,130766.0,422,DB,,,,,,0,,,,,,1.0,130794.0,,129900.0,130794.0,130794.0
2025-12-01 11:45:00,130766.0,130770.0,130450.0,130579.0,229,ISB,,,,,,0,,,,,,-1.0,129900.0,,129900.0,,
2025-12-01 12:00:00,130579.0,130699.0,130579.0,130693.0,96,ISB,,,,,,0,,,,,,-1.0,129900.0,,129900.0,,
2025-12-01 12:15:00,130693.0,130750.0,130671.0,130700.0,193,ISB,130750.0,130750.0,,high,,1,,,,,,-1.0,129900.0,,129900.0,,
2025-12-01 12:30:00,130700.0,130703.0,130586.0,130638.0,70,ISB,,,,,,1,,,,,,-1.0,129900.0,,129900.0,,
2025-12-01 12:45:00,130638.0,130767.0,130467.0,130728.0,188,ISB,,,,,,1,,,,,,-1.0,129900.0,,129900.0,,
2025-12-01 13:00:00,130728.0,130825.0,130728.0,130748.0,167,DB,,,,,,1,,,,,,-1.0,129900.0,,129900.0,,
2025-12-01 13:15:00,130748.0,130894.0,130666.0,130875.0,211,OSB,,,,,,0,,,,,,-1.0,129900.0,,129900.0,,
2025-12-01 13:30:00,130881.0,131094.0,130850.0,131040.0,332,DB,,,,,,0,,,,,,-1.0,129900.0,,129900.0,,
2025-12-01 13:45:00,131040.0,131150.0,130974.0,131006.0,306,DB,131150.0,131150.0,,high,0.024426362151351848,0,,,,,,-1.0,129900.0,,129900.0,,
2025-12-01 14:00:00,131006.0,131010.0,130770.0,130770.0,253,DB,,,,,0.0,0,,,,,,-1.0,129900.0,,129900.0,,
2025-12-01 14:15:00,130770.0,130870.0,130633.0,130843.0,205,DB,130633.0,,130633.0,low,0.16049769571165443,0,,,,,,-1.0,129900.0,,130633.0,,
2025-12-01 14:30:00,130843.0,130989.0,130843.0,130954.0,93,DB,,,,,0.08476258838981628,0,,,,,,-1.0,130633.0,,130633.0,,
2025-12-01 14:45:00,130954.0,131019.0,130872.0,131001.0,240,DB,131019.0,131019.0,,high,0.09847253074404011,0,,,,,,-1.0,130633.0,,130633.0,,
2025-12-01 15:00:00,131001.0,131001.0,130824.0,130826.0,79,DB,,,,,0.0015287481081742162,1,,,,,,-1.0,130633.0,,130633.0,,
2025-12-01 15:15:00,130826.0,130944.0,130751.0,130916.0,138,DB,130751.0,,130751.0,low,0.12603501481866236,0,,,,,,-1.0,130633.0,,130751.0,,
2025-12-01 15:30:00,130916.0,131260.0,130875.0,131171.0,370,DB,131260.0,131260.0,,high,0.22565963513276563,0,,,,,,-1.0,130751.0,,130751.0,,
2025-12-01 15:45:00,131171.0,131207.0,131001.0,131050.0,186,ISB,,,,,0.037390309042350245,0,,,,,,-1.0,130751.0,,130751.0,,
2025-12-01 16:00:00,131050.0,131060.0,130968.0,131010.0,176,ISB,,,,,0.03205862147927639,0,,,,,,-1.0,130751.0,,130751.0,,
2025-12-01 16:15:00,131010.0,131100.0,131004.0,131069.0,120,ISB,,,,,0.04959219952849263,1,,,,,,-1.0,130751.0,,130751.0,,
2025-12-01 16:30:00,131069.0,131076.0,130955.0,131024.0,60,ISB,,,,,0.05266210770545854,1,,,,,,-1.0,130751.0,,130751.0,,
2025-12-01 16:45:00,131024.0,131040.0,130853.0,131013.0,208,DB,130853.0,,130853.0,low,0.12212528527703358,1,,,,,,-1.0,130751.0,,130853.0,,
2025-12-01 17:00:00,131013.0,131144.0,130949.0,131122.0,189,DB,131144.0,131144.0,,high,0.13193819496346912,1,,,,,,-1.0,130853.0,,130853.0,,
2025-12-01 17:15:00,131122.0,131122.0,130962.0,131002.0,65,ISB,,,,,0.030533884978855282,1,,,,,,-1.0,130853.0,,130853.0,,
2025-12-01 17:30:00,131002.0,131040.0,130874.0,130925.0,76,DB,130874.0,,130874.0,low,0.038953599388963145,0,,,,,,-1.0,130853.0,,130874.0,,
2025-12-01 17:45:00,130925.0,131032.0,130885.0,131008.0,67,ISB,,,,,0.09388739618954567,0,,,,,,-1.0,130874.0,,130874.0,,
2025-12-01 18:00:00,131008.0,131099.0,130982.0,131003.0,45,DB,131099.0,131099.0,,high,0.01603016724807829,1,,,,,,-1.0,130874.0,,130874.0,,
2025-12-01 18:15:00,131003.0,131003.0,130721.0,130800.0,131,DB,130721.0,,130721.0,low,0.24343711843711843,0,,,,,,-1.0,130874.0,131099.0,,130874.0,130874.0
2025-12-01 18:30:00,130800.0,131059.0,130769.0,130983.0,125,DB,,,,,0.1809077446834496,1,,,,,,1.0,131099.0,131099.0,,,
2025-12-01 18:45:00,130995.0,131100.0,130906.0,131090.0,108,DB,,,,,0.14036158364482415,0,,,,,,1.0,131099.0,,130721.0,131099.0,131099.0
2025-12-01 19:00:00,131100.0,131332.0,131093.0,131292.0,342,DB,131332.0,131332.0,,high,0.15157054504463335,0,,,,,,-1.0,130721.0,,130721.0,,
2025-12-01 19:15:00,131292.0,131303.0,130870.0,130870.0,244,DB,,,,,0.09999923664704849,0,,,,,,-1.0,130721.0,,130721.0,,
