date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-12-01 09:15:00,1020.0,1020.9,1013.4,1014.4,1256200,DB,,,,,,0,,,,,,,,,,,
2025-12-01 09:30:00,1014.4,1019.2,1014.0,1014.6,689700,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 09:45:00,1014.6,1015.3,1013.4,1014.4,353650,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 10:00:00,1014.4,1015.3,1012.5,1012.9,410300,DB,,,,,,1,,,,,,,,,,,
2025-12-01 10:15:00,1012.9,1013.4,1011.3,1011.8,377850,DB,,,,,,1,,,,,,,,,,,
2025-12-01 10:30:00,1011.8,1013.4,1011.3,1011.9,221650,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 10:45:00,1011.9,1013.2,1010.5,1013.0,443300,DB,1010.5,,1010.5,low,,1,,,,,,-1.0,1010.5,0.0,,1010.5,1010.5
2025-12-01 11:00:00,1013.1,1013.2,1011.4,1012.8,196900,ISB,,,,,,1,,,,,,1.0,0.0,,1010.5,0.0,0.0
2025-12-01 11:15:00,1012.8,1013.3,1012.4,1012.8,138600,DB,1013.3,1013.3,,high,,1,,,,,,-1.0,1010.5,,1010.5,,
2025-12-01 11:30:00,1012.8,1013.4,1009.5,1009.6,322300,OSB,1013.4,1013.4,,high,,0,,,,,,-1.0,1010.5,1013.4,,1010.5,1010.5
2025-12-01 11:45:00,1009.6,1010.0,1007.0,1009.2,732600,DB,,,,,,0,,,,,,1.0,1013.4,1013.4,,,
2025-12-01 12:00:00,1009.2,1009.5,1005.7,1006.5,777700,DB,,,,,,0,,,,,,1.0,1013.4,1013.4,,,
2025-12-01 12:15:00,1006.4,1006.7,1003.8,1005.8,920150,DB,,,,,,0,,,,,,1.0,1013.4,1013.4,,,
2025-12-01 12:30:00,1005.8,1005.8,1003.6,1004.6,511500,DB,1003.6,,1003.6,low,,0,,,,,,1.0,1013.4,1013.4,,,
2025-12-01 12:45:00,1004.6,1007.5,1004.2,1006.8,633050,DB,,,,,,1,,,,,,1.0,1013.4,1013.4,,,
2025-12-01 13:00:00,1006.8,1007.5,1006.2,1006.9,314050,ISB,,,,,,1,,,,,,1.0,1013.4,1013.4,,,
2025-12-01 13:15:00,1006.9,1008.3,1006.5,1007.1,304700,DB,,,,,,0,,,,,,1.0,1013.4,1013.4,,,
