date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-12-01 09:15:00,3804.0,3817.9,3792.2,3794.1,248000,DB,3817.9,3817.9,,high,,0,,,,,,,,,,,
2025-12-01 09:30:00,3794.1,3797.0,3785.6,3792.6,121600,DB,3785.6,,3785.6,low,,0,,,,,,1.0,3817.9,3817.9,,,
2025-12-01 09:45:00,3792.6,3801.8,3785.6,3788.3,107400,DB,,,,,,0,,,,,,1.0,3817.9,3817.9,,,
2025-12-01 10:00:00,3788.3,3807.5,3788.3,3804.0,119400,DB,,,,,,1,,,,,,1.0,3817.9,3817.9,,,
2025-12-01 10:15:00,3804.0,3807.8,3790.3,3791.7,87000,DB,3807.8,3807.8,,high,,1,,,,,,1.0,3817.9,3807.8,,,
2025-12-01 10:30:00,3791.7,3793.8,3755.7,3758.0,436200,DB,,,,,,0,,,,,,1.0,3807.8,3807.8,,,
2025-12-01 10:45:00,3758.0,3763.1,3744.7,3754.0,205600,DB,3744.7,,3744.7,low,,0,,,,,,1.0,3807.8,3807.8,,,
2025-12-01 11:00:00,3754.0,3763.0,3752.9,3763.0,73800,ISB,,,,,,0,,,,,,1.0,3807.8,3807.8,,,
2025-12-01 11:15:00,3763.0,3774.2,3763.0,3773.0,102800,DB,,,,,,1,,,,,,1.0,3807.8,3807.8,,,
2025-12-01 11:30:00,3773.0,3779.9,3768.0,3771.3,73600,DB,3779.9,3779.9,,high,,0,,,,,,1.0,3807.8,3779.9,,,
2025-12-01 11:45:00,3771.3,3771.3,3760.0,3769.1,69400,DB,,,,,,1,,,,,,1.0,3779.9,3779.9,,,
2025-12-01 12:00:00,3769.9,3770.1,3761.3,3768.6,30800,ISB,,,,,,1,,,,,,1.0,3779.9,3779.9,,,
2025-12-01 12:15:00,3768.6,3769.0,3761.7,3766.9,24400,ISB,,,,,,1,,,,,,1.0,3779.9,3779.9,,,
2025-12-01 12:30:00,3767.5,3767.5,3758.5,3763.5,35000,DB,,,,,,1,,,,,,1.0,3779.9,3779.9,,,
2025-12-01 12:45:00,3763.5,3765.0,3760.0,3762.3,21800,ISB,,,,,,1,,,,,,1.0,3779.9,3779.9,,,
2025-12-01 13:00:00,3762.3,3764.6,3759.3,3763.1,21600,ISB,,,,,,1,,,,,,1.0,3779.9,3779.9,,,
2025-12-01 13:15:00,3763.1,3766.4,3758.7,3761.3,34200,ISB,,,,,,1,,,,,,1.0,3779.9,3779.9,,,
2025-12-01 13:30:00,3761.3,3766.3,3760.2,3766.3,31400,ISB,,,,,,1,,,,,,1.0,3779.9,3779.9,,,
2025-12-01 13:45:00,3766.3,3767.0,3757.6,3762.2,20400,DB,3757.6,,3757.6,low,,1,,,,,,1.0,3779.9,3779.9,,,
2025-12-01 14:00:00,3762.2,3771.1,3762.2,3771.0,79600,DB,,,,,0.8407791043989375,0,,,,,,1.0,3779.9,3779.9,,,
2025-12-01 14:15:00,3771.0,3773.3,3765.5,3768.0,59400,DB,3773.3,3773.3,,high,0.7145493856457288,0,,,,,,1.0,3779.9,3773.3,,,
2025-12-01 14:30:00,3768.0,3768.0,3759.0,3760.2,77600,DB,,,,,1.1829652996845426,0,,,,,,1.0,3773.3,3773.3,,,
2025-12-01 14:45:00,3760.2,3761.0,3752.5,3755.3,75000,DB,,,,,1.353838065194532,0,,,,,,1.0,3773.3,3773.3,,,
2025-12-01 15:00:00,3755.3,3761.0,3753.6,3758.4,55600,ISB,,,,,1.004826331197086,0,,,,,,1.0,3773.3,3773.3,,,
2025-12-01 15:15:00,3758.4,3759.8,3753.0,3754.2,107200,ISB,,,,,0.13304949441192124,1,,,,,,1.0,3773.3,3773.3,,,
2025-12-02 09:15:00,3753.4,3768.1,3746.9,3752.0,105800,OSB,,,,,0.6917572223694648,1,,,,,,1.0,3773.3,3773.3,,,
2025-12-02 09:30:00,3752.0,3752.5,3740.6,3741.7,79200,DB,,,,,0.8587331036310653,0,,,,,,1.0,3773.3,3773.3,,,
2025-12-02 09:45:00,3741.7,3749.7,3741.7,3745.0,59400,ISB,,,,,0.8295785846806304,0,,,,,,1.0,3773.3,3773.3,,,
2025-12-02 10:00:00,3745.0,3749.8,3740.7,3740.7,34400,ISB,,,,,0.8113912974306038,1,,,,,,1.0,3773.3,3773.3,,,
2025-12-02 10:15:00,3740.7,3742.8,3733.7,3734.1,80000,DB,,,,,0.9392162585232573,0,,,,,,1.0,3773.3,3773.3,,,
2025-12-02 10:30:00,3734.1,3740.6,3734.1,3736.6,29800,ISB,,,,,0.9154593217640503,0,,,,,,1.0,3773.3,3773.3,,,
2025-12-02 10:45:00,3736.6,3741.3,3733.4,3735.0,44400,DB,,,,,0.8893254400169901,1,,,,,,1.0,3773.3,3773.3,,,
2025-12-02 11:00:00,3735.0,3741.1,3735.0,3737.3,24800,ISB,,,,,0.7572738142686329,1,,,,,,1.0,3773.3,3773.3,,,
2025-12-02 11:15:00,3737.3,3740.0,3733.1,3736.3,27600,DB,3733.1,,3733.1,low,0.7972150620499058,1,,,,,,1.0,3773.3,3773.3,,,
2025-12-02 11:30:00,3736.3,3741.5,3736.3,3739.3,19000,DB,3741.5,3741.5,,high,0.7121787887645751,1,,,,,,1.0,3773.3,3741.5,,,
2025-12-02 11:45:00,3740.6,3740.6,3737.0,3738.4,15600,ISB,,,,,0.7779518360194403,1,,,,,,1.0,3741.5,3741.5,,,
2025-12-02 12:00:00,3738.4,3738.4,3731.4,3733.0,42400,DB,3731.4,,3731.4,low,0.9266388763507976,0,,,,,,1.0,3741.5,3741.5,,,
2025-12-02 12:15:00,3733.0,3739.8,3731.8,3738.5,34800,DB,,,,,1.0395120657650443,0,,,,,,1.0,3741.5,3741.5,,,
2025-12-02 12:30:00,3738.5,3745.0,3738.5,3744.8,34400,DB,3745.0,3745.0,,high,0.8618403606470433,0,,,,,,1.0,3741.5,,3731.4,3741.5,3741.5
2025-12-02 12:45:00,3744.8,3744.8,3738.1,3741.0,20000,DB,3738.1,,3738.1,low,0.7935244161358835,0,,,,,,-1.0,3731.4,,3738.1,,
2025-12-02 13:00:00,3741.0,3746.7,3740.1,3741.2,33200,DB,3746.7,3746.7,,high,0.5345460347853813,1,,,,,,-1.0,3738.1,,3738.1,,
2025-12-02 13:15:00,3741.0,3742.7,3735.4,3740.8,29400,DB,3735.4,,3735.4,low,0.6119625372498936,1,,,,,,-1.0,3738.1,3746.7,,3738.1,3738.1
2025-12-02 13:30:00,3740.8,3744.8,3738.2,3741.9,29200,DB,,,,,0.5374627501064355,1,,,,,,1.0,3746.7,3746.7,,,
2025-12-02 13:45:00,3741.9,3749.5,3740.3,3747.5,35000,DB,3749.5,3749.5,,high,0.3702519844440796,1,,,,,,1.0,3746.7,,3735.4,3746.7,3746.7
2025-12-02 14:00:00,3747.5,3749.0,3744.8,3744.9,36200,ISB,,,,,0.1918976545842169,1,,,,,,-1.0,3735.4,,3735.4,,
2025-12-02 14:15:00,3744.9,3747.5,3742.1,3746.2,25800,ISB,,,,,0.10944423682664858,1,,,,,,-1.0,3735.4,,3735.4,,
2025-12-02 14:30:00,3746.2,3747.0,3735.8,3742.2,56200,DB,,,,,0.245660881174895,1,,,,,,-1.0,3735.4,,3735.4,,
2025-12-02 14:45:00,3742.2,3743.3,3738.5,3739.9,58200,ISB,,,,,0.058812521720528727,1,,,,,,-1.0,3735.4,,3735.4,,
2025-12-02 15:00:00,3740.5,3742.6,3734.0,3740.8,198800,DB,3734.0,,3734.0,low,0.18177929854577046,1,,,,,,-1.0,3735.4,3749.5,,3735.4,3735.4
2025-12-02 15:15:00,3740.0,3746.6,3738.8,3745.4,170800,DB,3746.6,3746.6,,high,0.17621615848774252,1,,,,,,1.0,3749.5,3746.6,,,
2025-12-03 09:15:00,3755.0,3759.6,3716.1,3717.2,144600,OSB,3759.6,3759.6,,high,0.5672544350199414,0,,,,,,1.0,3746.6,,3734.0,3746.6,3746.6
2025-12-03 09:30:00,3717.2,3724.8,3701.0,3713.6,166800,DB,,,,,0.9712894335482885,0,,,,,,-1.0,3734.0,3759.6,,3734.0,3734.0
2025-12-03 09:45:00,3713.6,3716.0,3708.5,3711.8,73000,ISB,,,,,0.8236835771401113,0,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 10:00:00,3711.8,3711.8,3700.0,3704.3,70400,DB,,,,,1.0509988500521534,1,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 10:15:00,3704.3,3706.1,3690.6,3692.0,115000,DB,,,,,1.2786218703188579,0,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 10:30:00,3692.0,3695.9,3682.0,3688.7,86800,DB,,,,,1.6769920957060505,0,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 10:45:00,3688.7,3690.4,3682.1,3683.3,42600,ISB,,,,,1.6743217261269032,0,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 11:00:00,3683.3,3684.7,3672.0,3675.2,68200,DB,,,,,1.9440290536210258,0,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 11:15:00,3675.2,3676.7,3661.1,3664.6,87200,DB,,,,,2.141024270287606,0,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 11:30:00,3664.6,3672.7,3661.0,3666.1,66000,DB,,,,,2.143697209451508,0,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 11:45:00,3666.1,3668.4,3651.5,3656.9,115000,DB,3651.5,,3651.5,low,2.561707805203469,0,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 12:00:00,3656.9,3663.3,3656.3,3661.1,71400,ISB,,,,,2.4336224149432906,1,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 12:15:00,3661.1,3661.3,3656.1,3658.8,58200,ISB,,,,,2.438959306204138,1,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 12:30:00,3658.8,3661.8,3655.0,3655.7,71400,ISB,,,,,2.4344669264855003,1,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 12:45:00,3655.7,3661.8,3655.0,3660.0,50200,ISB,,,,,2.4344669264855003,1,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 13:00:00,3660.0,3664.0,3658.0,3659.1,38800,ISB,,,,,2.2500133611244677,1,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 13:15:00,3659.1,3660.5,3653.0,3659.5,58800,ISB,,,,,2.467026218828432,1,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 13:30:00,3659.5,3660.7,3655.2,3655.8,38800,ISB,,,,,2.4082874993325216,1,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 13:45:00,3655.8,3663.5,3655.0,3659.3,45000,ISB,,,,,2.4136273829230546,1,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 14:00:00,3659.3,3670.7,3657.9,3666.2,63000,DB,,,,,1.5952867749919224,0,,,,,,1.0,3759.6,3759.6,,,
2025-12-03 14:15:00,3666.2,3673.2,3665.3,3666.4,56400,DB,3673.2,3673.2,,high,1.3006247307195102,0,,,,,,1.0,3759.6,3673.2,,,
2025-12-03 14:30:00,3666.4,3668.8,3662.6,3665.0,55400,DB,3662.6,,3662.6,low,1.3255024516407208,1,,,,,,1.0,3673.2,3673.2,,,
2025-12-03 14:45:00,3665.0,3668.9,3663.4,3668.1,48800,DB,3668.9,3668.9,,high,1.1041222363199548,1,,,,,,1.0,3673.2,3668.9,,,
2025-12-03 15:00:00,3669.0,3670.4,3661.0,3664.0,76600,OSB,3661.0,,3661.0,low,0.8396533044420368,1,,,,,,1.0,3668.9,,3661.0,3668.9,3668.9
2025-12-03 15:15:00,3664.0,3670.4,3662.0,3663.8,135600,ISB,,,,,0.7238322444221492,1,,,,,,-1.0,3661.0,,3661.0,,
2025-12-04 09:15:00,3657.2,3679.1,3635.6,3667.7,158000,OSB,,,,,1.2950343442022174,1,,,,,,-1.0,3661.0,3668.9,,3661.0,3661.0
2025-12-04 09:30:00,3667.7,3684.6,3665.8,3683.3,54400,DB,3684.6,3684.6,,high,0.4751174218771211,1,,,,,,1.0,3668.9,,3661.0,3668.9,3668.9
2025-12-04 09:45:00,3683.3,3684.0,3666.0,3666.4,51600,ISB,,,,,0.010909884355228315,1,,,,,,-1.0,3661.0,,3661.0,,
2025-12-04 10:00:00,3666.4,3668.6,3655.0,3667.1,48600,DB,3655.0,,3655.0,low,0.32996100460854383,1,,,,,,-1.0,3661.0,3684.6,,3661.0,3661.0
2025-12-04 10:15:00,3667.1,3687.5,3666.3,3685.0,67400,DB,,,,,0.5074626865671592,0,,,,,,1.0,3684.6,,3655.0,3684.6,3684.6
2025-12-04 10:30:00,3685.0,3687.9,3680.9,3683.0,38000,DB,3687.9,3687.9,,high,0.057018734727122156,0,,,,,,-1.0,3655.0,,3655.0,,
2025-12-04 10:45:00,3683.0,3684.8,3679.8,3681.3,29400,DB,3679.8,,3679.8,low,0.04074647542987531,0,,,,,,-1.0,3655.0,,3679.8,,
2025-12-04 11:00:00,3681.3,3692.0,3679.9,3691.5,44000,DB,3692.0,3692.0,,high,0.3142354056616527,1,,,,,,-1.0,3679.8,,3679.8,,
2025-12-04 11:15:00,3691.5,3691.6,3685.1,3685.1,20400,ISB,,,,,0.0,0,,,,,,-1.0,3679.8,,3679.8,,
2025-12-04 11:30:00,3685.1,3685.7,3670.0,3670.0,36600,DB,,,,,0.0,0,,,,,,-1.0,3679.8,3692.0,,3679.8,3679.8
