date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-12-01 09:00:00,431.9,433.2,431.4,432.6,3007,DB,431.4,,431.4,low,,0,,,,,,,,,,,
2025-12-01 09:15:00,432.6,433.6,432.2,432.9,1215,DB,,,,,,0,,,,,,-1.0,431.4,,431.4,,
2025-12-01 09:30:00,432.9,433.6,432.7,433.0,995,ISB,,,,,,0,,,,,,-1.0,431.4,,431.4,,
2025-12-01 09:45:00,433.1,433.4,432.5,433.2,564,ISB,,,,,,1,,,,,,-1.0,431.4,,431.4,,
2025-12-01 10:00:00,433.2,433.9,433.0,433.2,927,DB,,,,,,1,,,,,,-1.0,431.4,,431.4,,
2025-12-01 10:15:00,433.2,435.7,432.7,435.0,1990,OSB,435.7,435.7,,high,,0,,,,,,-1.0,431.4,,431.4,,
2025-12-01 10:30:00,435.0,435.0,432.8,433.6,1610,ISB,,,,,,0,,,,,,-1.0,431.4,,431.4,,
2025-12-01 10:45:00,433.6,434.3,433.2,433.5,776,ISB,,,,,,0,,,,,,-1.0,431.4,,431.4,,
2025-12-01 11:00:00,433.5,433.7,430.3,433.3,4053,DB,430.3,,430.3,low,,1,,,,,,-1.0,431.4,435.7,,431.4,431.4
2025-12-01 11:15:00,433.3,434.3,432.0,434.2,1383,DB,,,,,,1,,,,,,1.0,435.7,435.7,,,
2025-12-01 11:30:00,434.2,434.9,431.6,432.2,3070,OSB,434.9,434.9,,high,,1,,,,,,1.0,435.7,434.9,,,
2025-12-01 11:45:00,432.5,434.4,432.5,434.0,1118,ISB,,,,,,1,,,,,,1.0,434.9,434.9,,,
2025-12-01 12:00:00,434.0,434.0,428.8,430.0,3174,DB,,,,,,0,,,,,,1.0,434.9,434.9,,,
2025-12-01 12:15:00,430.1,430.6,428.3,428.9,1795,DB,,,,,,0,,,,,,1.0,434.9,434.9,,,
2025-12-01 12:30:00,428.9,429.8,428.1,429.6,1540,DB,,,,,,0,,,,,,1.0,434.9,434.9,,,
2025-12-01 12:45:00,429.6,429.6,428.3,428.7,1027,ISB,,,,,,1,,,,,,1.0,434.9,434.9,,,
2025-12-01 13:00:00,428.7,429.2,428.6,428.7,391,ISB,,,,,,1,,,,,,1.0,434.9,434.9,,,
2025-12-01 13:15:00,428.7,429.0,428.0,428.1,612,DB,428.0,,428.0,low,,0,,,,,,1.0,434.9,434.9,,,
2025-12-01 13:30:00,428.1,428.7,428.0,428.2,427,ISB,,,,,,1,,,,,,1.0,434.9,434.9,,,
2025-12-01 13:45:00,428.2,429.0,428.1,428.5,554,ISB,,,,,1.586206896551719,1,,,,,,1.0,434.9,434.9,,,
2025-12-01 14:00:00,428.5,429.4,428.3,428.6,698,DB,429.4,429.4,,high,1.5402298850574687,1,,,,,,1.0,434.9,429.4,,,
2025-12-01 14:15:00,428.6,428.6,427.1,427.7,1462,DB,427.1,,427.1,low,1.8160919540229834,1,,,,,,1.0,429.4,429.4,,,
2025-12-01 14:30:00,427.7,427.8,427.2,427.6,393,ISB,,,,,1.7931034482758648,1,,,,,,1.0,429.4,429.4,,,
2025-12-01 14:45:00,427.6,428.9,427.1,428.6,1024,DB,428.9,428.9,,high,1.8160919540229834,1,,,,,,1.0,429.4,428.9,,,
2025-12-01 15:00:00,428.3,428.8,428.0,428.3,575,ISB,,,,,1.6091954022988506,1,,,,,,1.0,428.9,428.9,,,
2025-12-01 15:15:00,428.3,428.6,427.8,428.3,518,ISB,,,,,1.3376383763837663,1,,,,,,1.0,428.9,428.9,,,
2025-12-01 15:30:00,428.2,428.3,427.5,428.2,1069,ISB,,,,,1.384083044982699,1,,,,,,1.0,428.9,428.9,,,
2025-12-01 15:45:00,428.2,428.7,427.2,428.6,1034,ISB,,,,,1.6121602947950255,1,,,,,,1.0,428.9,428.9,,,
2025-12-01 16:00:00,428.6,428.9,427.0,427.6,1408,DB,427.0,,427.0,low,1.6582220175034519,1,,,,,,1.0,428.9,,427.0,428.9,428.9
2025-12-01 16:15:00,427.6,427.9,427.2,427.6,543,ISB,,,,,1.5668202764976984,1,,,,,,-1.0,427.0,,427.0,,
2025-12-01 16:30:00,427.6,429.1,426.5,428.7,1495,OSB,426.5,,426.5,low,1.7281105990783412,1,,,,,,-1.0,427.0,428.9,,427.0,427.0
2025-12-01 16:45:00,428.7,430.1,428.6,429.4,2089,DB,430.1,430.1,,high,0.3255813953488319,0,,,,,,1.0,428.9,,426.5,428.9,428.9
2025-12-01 17:00:00,429.4,429.8,427.4,428.6,1780,DB,427.4,,427.4,low,0.5121042830540143,1,,,,,,-1.0,426.5,,427.4,,
2025-12-01 17:15:00,428.6,429.9,427.9,428.5,1850,DB,,,,,0.3957169459962862,1,,,,,,-1.0,427.4,,427.4,,
2025-12-01 17:30:00,428.5,430.2,428.3,429.6,2985,DB,,,,,0.30260707635009576,1,,,,,,-1.0,427.4,,427.4,,
2025-12-01 17:45:00,429.6,431.6,429.5,430.0,3825,DB,431.6,431.6,,high,0.11627906976744186,1,,,,,,-1.0,427.4,,427.4,,
2025-12-01 18:00:00,430.0,431.1,429.0,429.2,2661,DB,,,,,0.04659832246038878,1,,,,,,-1.0,427.4,,427.4,,
