Date,Open,High,Low,Close,SSC,plot_dowPeak,plot_dowTrough,last_dow_profit,ATR20,LDV4,LWV4,MVF
19/07/2023,19801,19870,19747,19847.1,nan,nan,19375.2,-208.35,137.8,0,0,0.504356
18/07/2023,19755.6,19824.9,19707,19770.5,nan,nan,19375.2,-208.35,140.15,0,0,0.321438
17/07/2023,19622.2,19739,19597.2,19721.2,nan,nan,19375.2,-208.35,141,0,0,0.628511
14/07/2023,19522.2,19627.8,19475,19598.9,nan,nan,19375.2,-208.35,144.35,1,0,0.631925
13/07/2023,19535.6,19614.2,19452.1,19474.8,nan,nan,19375.2,-208.35,143.4,1,0,0.116561
12/07/2023,19535,19543.9,19450,19461.3,nan,nan,19375.2,-208.35,139.35,1,0,0.057807
11/07/2023,19452.2,19562.5,19436.2,19500.9,nan,nan,18665,-208.35,139.7,1,0,0.331268
10/07/2023,19422.2,19481.2,19375.2,19409.5,19375.2,nan,18665,-208.35,136.1,0,0,0.177232
7/07/2023,19485,19567.2,19380.1,19398.5,19567.2,nan,18665,-208.35,136.9,0,0,0.0948527
6/07/2023,19441.3,19555,19435.1,19536.1,nan,nan,18665,-208.35,134.95,1,0,0.516992
5/07/2023,19401,19486,19400,19466.9,nan,nan,18665,-208.35,135.7,0,0,0.343404
4/07/2023,19421,19500,19376.3,19458.4,nan,nan,18665,-208.35,136.15,0,0,0.421926
3/07/2023,19321,19419.9,19302.5,19405,nan,nan,18665,-208.35,134.6,0,0,0.5277
30/06/2023,19082,19273.2,19082,19261.2,nan,nan,18665,-208.35,132.65,0,0,0.930625
28/06/2023,18850.5,19010,18845.4,18966.3,nan,18920.7,18665,-208.35,122.75,0,0,0.63771
27/06/2023,18741,18822.4,18730,18811.2,nan,18920.7,nan,271.95,120.15,0,0,0.431658
26/06/2023,18720,18744.5,18665,18717.2,18665,18920.7,nan,271.95,119.3,0,0,0.278888
23/06/2023,18789,18808.2,18690,18705.9,nan,18920.7,18712.3,271.95,122.55,0,0,0.0849999
22/06/2023,18871.4,18920.7,18802,18830,18920.7,nan,18712.3,-213.55,128.95,1,0,0.14923
21/06/2023,18872.9,18909,18828.5,18896.8,nan,nan,18618.4,-213.55,129.5,1,0,0.361438
20/06/2023,18819.8,18883,18712.3,18864.7,18712.3,nan,18618.4,-213.55,131.95,0,0,0.807858
19/06/2023,18920,18923.5,18789.2,18840.2,nan,nan,18618.4,-213.55,128.3,0,0,0.270963
16/06/2023,18775,18955,18771,18899.2,18955,nan,18618.4,-213.55,129.35,0,0,0.677808
15/06/2023,18818.2,18867.5,18734.4,18745.5,nan,nan,18618.4,-213.55,126.75,0,0,0.0589476
14/06/2023,18750,18832,18750,18818.2,nan,nan,18618.4,-213.55,128.8,0,0,0.36268
13/06/2023,18735.4,18783,18721,18776.9,nan,nan,18605.5,-213.55,133.25,0,0,0.297441
12/06/2023,18650,18705.6,18624.1,18683,nan,nan,18605.5,-213.55,134.9,0,0,0.31526
9/06/2023,18725,18740,18618.4,18631.5,18618.4,nan,18605.5,-213.55,140.1,0,0,0.0708476
8/06/2023,18811.1,18842,18693.5,18710,18842,nan,18605.5,-213.55,141.5,1,0,0.0879211
7/06/2023,18715.5,18807.7,18706.6,18798.4,nan,nan,18550,-213.55,137.8,0,0,0.488339
6/06/2023,18675,18700.8,18605.5,18673,18605.5,nan,18550,-213.55,136.2,1,0,0.36095
5/06/2023,18700.2,18729,18676.6,18696.7,18729,nan,18550,-213.55,137.4,1,0,0.107238
2/06/2023,18618.7,18675.5,18556.4,18636,nan,nan,18202.8,-213.55,143.5,1,0,0.427131
1/06/2023,18625,18659,18550,18570,18550,nan,18202.8,-213.55,146.5,1,0,0.107701
31/05/2023,18680.6,18680.6,18566,18629.5,nan,nan,18202.8,-213.55,151.2,1,0,0.341125
30/05/2023,18660,18742.4,18654,18713,18742.4,nan,18202.8,-213.55,149.5,0,0,0.315022
29/05/2023,18697.2,18717.5,18648.2,18673.7,nan,nan,18202.8,-213.55,151.9,0,0,0.136556
26/05/2023,18440.4,18590,18419,18573.3,nan,18429,18202.8,-213.55,155.7,0,0,0.830762
25/05/2023,18270,18333,18202.8,18322.2,18202.8,18429,nan,-175.1,148.75,1,1,0.652212
24/05/2023,18301,18394.5,18265.2,18295.9,nan,18473.1,nan,-175.1,147.65,1,1,0.167797
23/05/2023,18361.1,18429,18347.8,18365.8,18429,18473.1,nan,-175.1,145.7,0,1,0.0982805
22/05/2023,18215,18350,18195.1,18331.4,nan,18473.1,nan,-175.1,147.75,0,1,0.743262
19/05/2023,18210,18242,18084,18225.4,18084,18473.1,nan,-175.1,145.35,0,1,0.775566
18/05/2023,18290,18324.5,18150.8,18175.5,nan,18473.1,nan,-175.1,143.15,0,0,0.135623
17/05/2023,18315.6,18328.4,18157.6,18224.5,nan,18473.1,18215.5,-175.1,139,0,0,0.367088
16/05/2023,18439,18445.8,18312,18328.4,nan,nan,18215.5,-135,136.8,1,0,0.0894786
15/05/2023,18300,18473.1,18288,18417.5,18473.1,18390.5,18215.5,-135,142.1,1,0,0.703405
12/05/2023,18299,18365,18215.5,18333.4,18215.5,18390.5,18255.5,984.55,138.6,1,0,0.643361
11/05/2023,18375.1,18390.5,18316,18353.4,18390.5,nan,18100.3,-192.6,136.2,1,0,0.203777
10/05/2023,18325,18358.5,18255.5,18345.5,18255.5,nan,18100.3,-192.6,138.85,0,0,0.490311
9/05/2023,18335.6,18388.9,18270.2,18306.4,18388.9,nan,18100.3,-192.6,139.2,0,0,0.198018
8/05/2023,18160,18344.7,18147,18310.4,nan,nan,18100.3,-192.6,141.2,0,0,0.892389
5/05/2023,18180,18267.8,18115,18129.7,nan,nan,18100.3,-192.6,138.25,0,0,0.0810824
4/05/2023,18119.9,18315.9,18113.1,18294.7,nan,nan,17583,-192.6,134.55,0,0,0.992367
3/05/2023,18154.9,18180,18100.3,18150,18100.3,nan,17583,-192.6,144.5,0,0,0.273554
2/05/2023,18180.5,18247.2,18180.5,18213.2,18247.2,nan,17583,-192.6,146.25,0,0,0.179541
28/04/2023,18030.2,18128.5,17965,18111.2,nan,nan,17583,-192.6,147.5,0,0,0.806961
27/04/2023,17791,17920,17791,17908.1,nan,nan,17583,-192.6,145.65,1,0,0.653894
26/04/2023,17754.9,17830,17722,17814.9,nan,nan,17583,-192.6,148.6,0,0,0.521474
25/04/2023,17776.1,17822.7,17732.3,17782.3,nan,nan,17583,-192.6,151.85,1,0,0.281178
24/04/2023,17715,17772,17633.2,17763.9,nan,nan,16927.5,-192.6,152.1,1,0,0.735762
21/04/2023,17650,17690,17583,17657.3,17583,nan,16927.5,-192.6,152.9,1,0,0.420789
20/04/2023,17681.1,17725,17611,17655.8,nan,nan,16927.5,-192.6,163.2,1,0,0.254024
19/04/2023,17700,17710.8,17622,17649.7,nan,nan,16927.5,-192.6,166.9,0,0,0.15666
18/04/2023,17775,17780,17652.9,17712.4,nan,nan,16927.5,-192.6,172.95,1,0,0.335924
17/04/2023,17820.1,17854,17640,17760.1,nan,nan,16927.5,-192.6,179.25,1,0,0.676235
13/04/2023,17850,17889.9,17775,17879.7,17889.9,nan,16927.5,-192.6,177.6,0,0,0.585302
12/04/2023,17806.2,17879.7,17778.3,17858.2,nan,nan,16927.5,-192.6,192.6,0,0,0.447692
11/04/2023,17730,17809.4,17715.8,17788.2,nan,nan,16927.5,-192.6,201.45,1,0,0.407292
10/04/2023,17671,17754,17653.6,17681.5,nan,nan,16927.5,-192.6,204.25,0,0,0.157792
6/04/2023,17599.8,17716,17557.1,17644.2,nan,nan,16927.5,-192.6,206.35,1,0,1.3344
5/04/2023,17500,17630,17486.8,17622,nan,nan,16927.5,-192.6,208,0,1,1.72946
3/04/2023,17470,17489,17383.8,17474,nan,nan,16927.5,-192.6,216.5,0,1,2.30801
31/03/2023,17271,17466,17271,17442.7,nan,17124.5,16927.5,-192.6,218.85,0,1,0.984082
29/03/2023,16983,17090.6,16942,17064.1,nan,17124.5,nan,-279.05,206.1,1,0,3.36913
28/03/2023,17065,17088.2,16927.5,16970.6,16927.5,17124.5,16932,-279.05,208.1,1,0,3.45212
27/03/2023,16995.2,17124.5,16940.8,17037.4,17124.5,nan,16866,171.25,208.45,0,0,3.18409
24/03/2023,17080,17119.9,16932,16955,16932,nan,16866,171.25,208.75,0,0,3.57248
23/03/2023,17124.9,17239.5,17067,17087.5,17239.5,nan,16866,171.25,207.75,1,1,2.80365
22/03/2023,17211,17238,17142.1,17185,nan,17208.8,16866,171.25,214.5,1,1,2.41818
21/03/2023,17090,17183.7,17052.2,17160.2,nan,17208.8,nan,-170,216.25,1,1,4.41617
20/03/2023,17099.8,17109.8,16866,17028.9,16866,17863.9,nan,-170,217.45,1,1,5.57952
17/03/2023,17165,17208.8,17020,17178.2,17208.8,17863.9,nan,-170,210.3,1,1,5.18606
16/03/2023,17019.9,17130,16918.5,17047.3,16918.5,17863.9,nan,-170,206.6,1,0,6.33538
15/03/2023,17225,17263.4,17010.9,17037.3,nan,17863.9,nan,-170,204.85,0,0,5.82383
14/03/2023,17190,17278,17071.1,17125.8,nan,17863.9,nan,-170,200.65,0,0,5.49055
13/03/2023,17460,17574,17159,17205.8,nan,17863.9,nan,-170,198.1,0,0,5.00364
10/03/2023,17489.8,17489.9,17367,17452.5,nan,17863.9,17380,-170,184.7,0,0,2.85337
9/03/2023,17790,17818.9,17635,17645.1,nan,nan,17380,-77.65,178.45,1,1,1.73216
8/03/2023,17715.1,17805.8,17654,17794.5,nan,nan,17380,-77.65,177.1,0,1,1.62628
6/03/2023,17730,17863.9,17724,17775,17863.9,nan,17380,-77.65,177.6,0,1,1.23622
3/03/2023,17490.2,17725,17475,17671.5,nan,17550,17380,-77.65,175.9,0,1,1.85865
2/03/2023,17495,17518,17380,17399.4,17380,17700,nan,-617.65,174.2,1,1,2.91669
1/03/2023,17433,17550,17417.3,17532.7,17550,17700,nan,-617.65,177.4,1,1,2.70805
28/02/2023,17493,17534,17345,17403.4,17345,17700,nan,-617.65,199.65,1,1,3.1122
27/02/2023,17505,17554.8,17392.2,17498,nan,18150,nan,-617.65,200.2,1,1,2.2836
24/02/2023,17637.9,17700,17510,17559.2,17700,18150,nan,-617.65,207.2,0,1,1.62175
23/02/2023,17575,17628.7,17461.2,17512,17461.2,18150,17472.3,-617.65,218.6,0,1,1.89621
22/02/2023,17790,17795,17532.5,17566.9,nan,nan,17472.3,392.2,224.35,0,1,1.98983
21/02/2023,17883.6,17932,17801,17840.1,nan,nan,17472.3,392.2,214.9,0,1,1.80519
20/02/2023,17965.8,18014.7,17835.6,17862.7,nan,nan,17472.3,392.2,215.25,1,1,1.72221
17/02/2023,17986.2,18045,17893.5,17951,nan,nan,17472.3,392.2,213.05,1,1,1.4029
16/02/2023,18090,18150,18047.8,18062.9,18150,18064,17472.3,392.2,210.5,0,1,0.360788
15/02/2023,17899.8,18049,17872.4,18035.2,nan,18064,nan,1013.15,212.4,0,1,1.79569
14/02/2023,17830,17969.9,17812.9,17945.2,nan,18064,nan,1013.15,212.95,1,1,2.12263
13/02/2023,17852,17900.5,17745,17801.9,nan,18064,nan,1013.15,215.05,1,1,2.49545
10/02/2023,17851,17899.9,17799,17877.1,nan,18064,nan,1013.15,219.95,1,1,1.25518
9/02/2023,17900,17975,17820.9,17945.9,nan,18064,nan,1013.15,222.6,1,1,0.696261
8/02/2023,17802,17939.4,17786,17909.2,nan,18064,nan,1013.15,223.6,1,1,0.984805
7/02/2023,17840,17864.8,17703,17782.7,nan,18064,nan,1013.15,228.4,1,1,1.57481
6/02/2023,17840,17867.5,17744.3,17806,nan,18064,nan,1013.15,234.55,1,1,2.36007
3/02/2023,17758,17927,17635.7,17902.2,nan,18064,nan,1013.15,239.65,1,1,2.95793
2/02/2023,17597.9,17740,17522.9,17685.2,nan,18064,nan,1013.15,236.4,1,1,3.0062
1/02/2023,17925,18064,17472.3,17677.2,17472.3,18218.5,nan,1013.15,237.25,1,1,3.48394
31/01/2023,17785,17836.3,17636.2,17798.7,17836.3,18218.5,nan,1013.15,213.85,1,1,3.71807
30/01/2023,17640,17829,17522.2,17741.8,17522.2,18218.5,nan,1013.15,210.35,0,1,4.34043
27/01/2023,17988,17995,17576.8,17687.2,nan,18218.5,nan,1013.15,205.05,0,1,4.04263
25/01/2023,18109.8,18109.9,17845.3,17888.5,nan,18224.6,nan,1013.15,194.8,0,1,2.5768
24/01/2023,18210,18218.5,18100,18128.2,18218.5,18224.6,nan,1013.15,185.9,1,1,0.155558
23/01/2023,18120,18194,18091,18148.2,nan,18224.6,nan,1013.15,189.1,1,1,0.315184
20/01/2023,18150,18170.8,18036,18055.8,18036,18228,nan,1013.15,195.75,1,1,0.10966
19/01/2023,18151,18177.8,18081,18113.2,nan,18228,nan,1013.15,205.95,0,1,0.177495
18/01/2023,18112,18224.6,18071.1,18199.2,18224.6,18228,nan,1013.15,212.3,0,1,0.703604
17/01/2023,17916.2,18103.9,17916.2,18088.8,nan,18228,nan,1013.15,219.2,1,1,1.96789
16/01/2023,18051.1,18097,17887,17941.8,nan,18228,nan,1013.15,223.2,1,1,2.91468
13/01/2023,17940,18088.2,17835.5,18025.2,nan,18228,nan,1013.15,223.2,1,1,3.58797
12/01/2023,17982.5,18020,17820,17918.7,17820,18228,nan,1013.15,219.35,0,1,3.67176
11/01/2023,18000,18065,17890.5,17963,nan,18228,nan,1013.15,224.95,0,1,3.12206
10/01/2023,18173.2,18178,17925.2,17986.2,nan,18333.9,nan,1013.15,221.4,0,1,4.39359
9/01/2023,18028,18228,18018.9,18173.2,18228,18333.9,nan,1013.15,215.85,0,1,3.89356
6/01/2023,18073.6,18132,17872,17943.2,17872,18333.9,nan,1013.15,210.75,0,1,4.67681
5/01/2023,18155,18190,17964.4,18066,nan,18333.9,nan,1013.15,210.85,0,0,4.18425
4/01/2023,18299,18303.3,18083.2,18103,nan,18374,nan,1013.15,204.75,0,0,3.40248
3/01/2023,18234.9,18333.9,18210,18317.3,18333.9,18374,nan,1013.15,199.25,1,0,2.72487
2/01/2023,18209,18294.4,18164.7,18275.9,18164.7,18807.5,nan,1013.15,199.85,1,0,3.23179
30/12/2022,18338,18374,18172.4,18206.9,18374,18807.5,nan,1013.15,200.65,1,0,3.42974
29/12/2022,18122,18198,17985,18182,nan,18807.5,nan,1013.15,200,1,0,4.42534
28/12/2022,18097.8,18178.4,18073.9,18122.4,nan,18807.5,nan,1013.15,195.6,0,0,4.61493
27/12/2022,18082.2,18152,17969,18138,nan,18807.5,nan,1013.15,199.55,0,0,5.16827
26/12/2022,17890,18106,17835.5,18027.3,nan,18807.5,nan,1013.15,196.75,0,0,5.87256
23/12/2022,18055,18115,17831.2,17863.9,17831.2,18807.5,nan,1013.15,192.05,0,0,5.89552
22/12/2022,18327,18356.9,18112,18170.4,nan,18807.5,nan,1013.15,185.5,0,0,4.41359
21/12/2022,18470.1,18514.9,18223,18275.9,nan,18807.5,nan,1013.15,183.3,0,0,3.82778
20/12/2022,18420,18449,18231.9,18424,nan,18807.5,nan,1013.15,173.35,1,0,1.04239
19/12/2022,18340,18519,18308.6,18499.3,nan,18807.5,nan,1013.15,166.1,0,0,1.03085
16/12/2022,18367,18488.9,18313.2,18328.7,nan,18807.5,nan,1013.15,165.6,0,0,0.0842943
15/12/2022,18705.6,18742.4,18437.5,18467,nan,18807.5,18456.2,1013.15,164.85,0,0,0.159474
14/12/2022,18775.5,18807.5,18720,18748.9,18807.5,nan,18456.2,89.25,155.65,0,0,0.153876
