date,open,high,low,close,volume,oi,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2020-06-01,9660.15,9911.65,9640.5,9791.0,18472200,9994425,DB,9640.5,,9640.5,low,,0,9660.15,10193.15,9640.5,10145.5,0.0,,,,,,
2020-06-02,9830.85,9987.9,9780.0,9962.95,16409400,10725975,DB,,,,,,0,,,,,,-1.0,9640.5,,9640.5,,
2020-06-03,10080.85,10193.15,10036.6,10071.8,16934625,10430775,DB,10193.15,10193.15,,high,,0,,,,,,-1.0,9640.5,,9640.5,,
2020-06-04,10060.2,10110.0,9932.3,10017.65,17513250,10050300,DB,9932.3,,9932.3,low,,0,,,,,,-1.0,9640.5,,9932.3,,
2020-06-05,10066.65,10184.0,10040.0,10145.5,15485025,10329825,DB,,,,,,1,,,,,,-1.0,9932.3,,9932.3,,
2020-06-08,10293.9,10318.7,10113.0,10165.35,14659125,10512525,DB,10318.7,10318.7,,high,,1,10293.9,10318.7,9581.95,9955.35,0.0,-1.0,9932.3,,9932.3,,
2020-06-09,10192.15,10295.0,10006.25,10034.0,16868475,10478625,DB,,,,,,1,,,,,,-1.0,9932.3,,9932.3,,
2020-06-10,10076.55,10153.75,10037.45,10118.7,15955875,10464675,ISB,,,,,,1,,,,,,-1.0,9932.3,,9932.3,,
2020-06-11,10061.9,10099.0,9876.3,9894.55,17675850,10898175,DB,,,,,,0,,,,,,-1.0,9932.3,10318.7,,9932.3,9932.3
2020-06-12,9599.4,9982.15,9581.95,9955.35,24424800,10699200,DB,9581.95,,9581.95,low,,1,,,,,,1.0,10318.7,10318.7,,,
2020-06-15,9875.9,9904.95,9682.25,9813.75,20905200,9890400,ISB,,,,,,0,9875.9,10252.0,9682.25,10235.55,0.0,1.0,10318.7,10318.7,,,
2020-06-16,10018.15,10044.7,9703.9,9897.85,24786000,9516825,DB,,,,,,1,,,,,,1.0,10318.7,10318.7,,,
2020-06-17,9867.65,9988.95,9810.05,9854.55,18372825,9508875,ISB,,,,,,1,,,,,,1.0,10318.7,10318.7,,,
2020-06-18,9845.65,10103.9,9825.0,10071.9,18165825,9101625,DB,,,,,,1,,,,,,1.0,10318.7,10318.7,,,
2020-06-19,10057.4,10252.0,10051.0,10235.55,17610225,9114750,DB,,,,,,0,,,,,,1.0,10318.7,10318.7,,,
2020-06-22,10248.0,10374.75,10236.0,10288.2,14946000,8197725,DB,,,,,,0,10248.0,10536.1,10181.0,10318.0,1.0,1.0,10318.7,,9581.95,10318.7,10318.7
2020-06-23,10328.05,10480.0,10282.1,10467.7,14490600,7398825,DB,,,,,,0,,,,,,-1.0,9581.95,,9581.95,,
2020-06-24,10499.3,10536.1,10274.25,10295.65,19117200,5236650,OSB,10536.1,10536.1,,high,,0,,,,,,-1.0,9581.95,,9581.95,,
2020-06-25,10196.0,10362.75,10181.0,10296.5,18665025,3044400,DB,,,,,,1,,,,,,-1.0,9581.95,,9581.95,,
2020-06-26,10297.65,10348.7,10235.25,10318.0,17242050,11634825,ISB,,,,,0.8019965109517349,1,,,,,,-1.0,9581.95,,9581.95,,
2020-06-29,10241.9,10282.3,10156.3,10255.8,16433925,11420700,DB,10156.3,,10156.3,low,0.9701827258721895,1,10241.9,10605.7,10156.3,10572.45,0.0,-1.0,9581.95,,10156.3,,
2020-06-30,10315.0,10343.9,10185.2,10240.25,15373200,11508600,DB,,,,,0.5375845316276386,1,,,,,,-1.0,10156.3,,10156.3,,
2020-07-01,10266.35,10430.55,10244.1,10408.3,16743825,10738125,DB,,,,,1.5775871179731455,0,,,,,,-1.0,10156.3,,10156.3,,
2020-07-02,10451.05,10581.65,10440.0,10539.7,14911050,10700700,DB,,,,,0.9459472280994783,0,,,,,,-1.0,10156.3,,10156.3,,
2020-07-03,10597.65,10605.7,10533.0,10572.45,11555400,10940775,DB,,,,,0.37313962232028264,0,,,,,,-1.0,10156.3,,10156.3,,
2020-07-06,10700.65,10785.0,10661.05,10754.85,12943425,11237700,DB,10785.0,10785.0,,high,0.8721646512968669,0,10700.65,10844.95,10657.7,10766.65,0.0,-1.0,10156.3,,10156.3,,
2020-07-07,10761.9,10784.7,10657.7,10766.65,14395425,11683950,DB,10657.7,,10657.7,low,1.0119210710852393,0,,,,,,-1.0,10156.3,,10657.7,,
2020-07-08,10799.65,10828.7,10675.0,10696.3,15348450,11196000,DB,,,,,0.19913428007815107,0,,,,,,-1.0,10657.7,,10657.7,,
2020-07-09,10725.95,10844.95,10712.8,10823.55,12956100,11662575,DB,10844.95,10844.95,,high,1.0232317492874334,1,,,,,,-1.0,10657.7,,10657.7,,
2020-07-10,10772.4,10805.0,10696.45,10766.65,14715525,11680050,DB,10696.45,,10696.45,low,0.6520133932095769,1,,,,,,-1.0,10657.7,,10696.45,,
2020-07-13,10834.7,10879.4,10749.05,10807.55,12624825,11510175,DB,10879.4,10879.4,,high,0.5412882660732544,1,10834.7,10935.95,10553.0,10905.05,0.0,-1.0,10696.45,,10696.45,,
2020-07-14,10752.9,10763.95,10553.0,10613.85,16891875,10937175,DB,10553.0,,10553.0,low,0.5733075180071356,0,,,,,,-1.0,10696.45,10879.4,,10696.45,10696.45
2020-07-15,10682.0,10823.0,10591.0,10628.25,17982450,9585375,DB,10823.0,10823.0,,high,0.35048102933220426,0,,,,,,1.0,10879.4,10823.0,,,
2020-07-16,10652.9,10738.0,10580.9,10713.85,14319150,10534875,DB,10580.9,,10580.9,low,1.2409171306299858,0,,,,,,1.0,10823.0,10823.0,,,
2020-07-17,10751.3,10935.95,10736.0,10905.05,13903425,10499475,DB,,,,,1.550199219627597,0,,,,,,1.0,10823.0,,10580.9,10823.0,10823.0
2020-07-20,10955.0,11022.65,10921.0,11008.6,11748675,10768500,DB,,,,,0.79574151118217,0,10955.0,11228.0,10805.2,11170.25,0.0,-1.0,10580.9,,10580.9,,
2020-07-21,11122.65,11184.9,11097.1,11170.55,11064300,10637100,DB,,,,,0.6575325297321879,0,,,,,,-1.0,10580.9,,10580.9,,
2020-07-22,11186.7,11203.2,10805.2,11110.55,12947925,10365525,OSB,,,,,2.7482887885838103,0,,,,,,-1.0,10580.9,,10580.9,,
2020-07-23,11121.35,11228.0,11097.3,11207.55,9931125,10296000,DB,11228.0,11228.0,,high,0.9837118728000322,1,,,,,,-1.0,10580.9,,10580.9,,
2020-07-24,11093.9,11198.95,11062.0,11170.25,13613475,9683475,DB,11062.0,,11062.0,low,0.9690920077885455,1,,,,,,-1.0,10580.9,,11062.0,,
