date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-12-01 09:15:00,988.05,995.65,988.05,991.7,2403000,DB,,,,,,0,,,,,,,,,,,
2025-12-01 09:30:00,991.7,994.35,991.65,993.55,924750,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 09:45:00,993.55,994.0,989.6,989.9,458250,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 10:00:00,989.9,990.65,989.15,989.55,282750,ISB,,,,,,1,,,,,,,,,,,
2025-12-01 10:15:00,989.55,990.45,988.85,989.65,210750,ISB,,,,,,0,,,,,,,,,,,
2025-12-01 10:30:00,989.65,989.9,987.85,988.6,249750,DB,,,,,,1,,,,,,,,,,,
2025-12-01 10:45:00,988.6,989.1,988.0,988.7,168750,ISB,,,,,,1,,,,,,,,,,,
2025-12-01 11:00:00,988.7,989.3,988.2,988.7,107250,ISB,,,,,,1,,,,,,,,,,,
2025-12-01 11:15:00,988.7,989.0,986.1,986.25,288750,DB,,,,,,0,,,,,,,,,,,
2025-12-01 11:30:00,986.25,986.85,984.75,985.0,276750,DB,,,,,,0,,,,,,,,,,,
2025-12-01 11:45:00,985.0,985.0,981.4,981.65,618000,DB,,,,,,0,,,,,,,,,,,
2025-12-01 12:00:00,981.65,981.95,979.6,980.25,416250,DB,979.6,,979.6,low,,0,,,,,,-1.0,979.6,0.0,,979.6,979.6
2025-12-01 12:15:00,980.25,980.85,979.75,980.6,287250,ISB,,,,,,0,,,,,,1.0,0.0,,979.6,0.0,0.0
2025-12-01 12:30:00,980.8,981.1,980.1,980.8,505500,ISB,,,,,,1,,,,,,-1.0,979.6,,979.6,,
2025-12-01 12:45:00,980.8,982.3,980.75,980.95,326250,DB,,,,,,1,,,,,,-1.0,979.6,,979.6,,
2025-12-01 13:00:00,980.95,983.05,980.8,982.25,227250,DB,983.05,983.05,,high,,0,,,,,,-1.0,979.6,,979.6,,
2025-12-01 13:15:00,982.25,982.45,980.15,980.6,191250,DB,,,,,,1,,,,,,-1.0,979.6,,979.6,,
2025-12-01 13:30:00,980.6,981.15,978.8,980.0,384750,DB,,,,,,0,,,,,,-1.0,979.6,983.05,,979.6,979.6
2025-12-01 13:45:00,980.0,980.5,978.9,979.15,228000,ISB,,,,,,0,,,,,,1.0,983.05,983.05,,,
2025-12-01 14:00:00,979.15,980.15,979.1,979.85,148500,ISB,,,,,1.4543807558753894,1,,,,,,1.0,983.05,983.05,,,
2025-12-01 14:15:00,979.85,979.95,979.25,979.3,149250,ISB,,,,,1.4392833777867198,1,,,,,,1.0,983.05,983.05,,,
2025-12-01 14:30:00,979.2,979.35,977.2,977.7,318000,DB,,,,,1.282957874532774,0,,,,,,1.0,983.05,983.05,,,
2025-12-01 14:45:00,977.7,978.15,976.2,977.65,474000,DB,976.2,,976.2,low,1.3590663365836337,0,,,,,,1.0,983.05,983.05,,,
2025-12-01 15:00:00,977.65,979.75,977.5,979.1,430500,DB,,,,,1.2277067650179334,1,,,,,,1.0,983.05,983.05,,,
2025-12-01 15:15:00,979.1,979.7,978.0,979.0,603000,ISB,,,,,1.0822291898452558,1,,,,,,1.0,983.05,983.05,,,
2025-12-02 09:15:00,979.15,984.8,979.15,983.15,1152750,DB,,,,,0.9659148376656284,0,,,,,,1.0,983.05,,976.2,983.05,983.05
2025-12-02 09:30:00,983.15,983.5,981.25,981.35,510000,ISB,,,,,0.7535147162941281,0,,,,,,-1.0,976.2,,976.2,,
2025-12-02 09:45:00,981.35,981.65,980.0,981.0,487500,ISB,,,,,0.6337135614702154,0,,,,,,-1.0,976.2,,976.2,,
2025-12-02 10:00:00,981.0,981.3,979.7,980.9,306750,ISB,,,,,0.5380710659898431,1,,,,,,-1.0,976.2,,976.2,,
2025-12-02 10:15:00,981.0,986.2,981.0,984.65,759750,DB,986.2,986.2,,high,0.37069009292641825,0,,,,,,-1.0,976.2,,976.2,,
2025-12-02 10:30:00,984.65,985.1,981.3,983.0,574500,ISB,,,,,0.17293997965412466,0,,,,,,-1.0,976.2,,976.2,,
2025-12-02 10:45:00,983.0,983.15,981.5,981.9,518250,ISB,,,,,0.04073734596190827,0,,,,,,-1.0,976.2,,976.2,,
2025-12-02 11:00:00,981.9,983.6,981.6,981.8,450000,ISB,,,,,0.02037074760643021,1,,,,,,-1.0,976.2,,976.2,,
2025-12-02 11:15:00,981.8,981.95,981.0,981.25,159000,ISB,,,,,0.025477707006369425,1,,,,,,-1.0,976.2,,976.2,,
2025-12-02 11:30:00,981.25,981.3,981.0,981.1,60000,ISB,,,,,0.12725884448969205,1,,,,,,-1.0,976.2,,976.2,,
2025-12-02 11:45:00,981.1,981.6,980.25,981.0,373500,DB,,,,,0.0764525993883792,1,,,,,,-1.0,976.2,,976.2,,
2025-12-02 12:00:00,981.0,981.3,980.1,980.5,99750,DB,,,,,0.040795512493623384,1,,,,,,-1.0,976.2,,976.2,,
2025-12-02 12:15:00,980.5,981.35,979.9,981.0,167250,OSB,979.9,,979.9,low,0.11213047910295848,1,,,,,,-1.0,976.2,,979.9,,
2025-12-02 12:30:00,981.1,981.45,980.75,981.05,153750,DB,981.45,981.45,,high,0.030579481168131546,1,,,,,,-1.0,979.9,,979.9,,
