date,open,high,low,close,volume,oi,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2024-06-03,91125.0,92430.0,89992.0,92033.0,23900,24642,DB,92430.0,92430.0,,high,,0,91125.0,94610.0,88727.0,89089.0,0.0,,,,,,
2024-06-04,92107.0,92772.0,89251.0,89659.0,24238,22839,OSB,,,,,,0,,,,,,1.0,92430.0,,0.0,92430.0,92430.0
2024-06-05,89898.0,90574.0,88912.0,90444.0,16476,22629,DB,88912.0,,88912.0,low,,0,,,,,,-1.0,0.0,,88912.0,,
2024-06-06,90839.0,93900.0,90839.0,93816.0,24259,23770,DB,93900.0,93900.0,,high,,0,,,,,,-1.0,88912.0,,88912.0,,
2024-06-07,93628.0,94610.0,88727.0,89089.0,43091,22701,OSB,94610.0,94610.0,,high,,0,,,,,,-1.0,88912.0,94610.0,,88912.0,88912.0
2024-06-10,89355.0,90180.0,88900.0,90022.0,15745,21293,ISB,,,,,,0,89355.0,91190.0,87363.0,89090.0,0.0,1.0,94610.0,94610.0,,,
2024-06-11,89100.0,89569.0,88161.0,88663.0,14976,21614,DB,88161.0,,88161.0,low,,0,,,,,,1.0,94610.0,94610.0,,,
2024-06-12,89250.0,91190.0,88905.0,90445.0,23838,20983,DB,91190.0,91190.0,,high,,1,,,,,,1.0,94610.0,91190.0,,,
2024-06-13,88946.0,89323.0,87363.0,87983.0,29960,21071,DB,87363.0,,87363.0,low,,0,,,,,,1.0,91190.0,91190.0,,,
2024-06-14,88241.0,89199.0,87824.0,89090.0,18451,20639,ISB,,,,,,0,,,,,,1.0,91190.0,91190.0,,,
2024-06-17,88561.0,89374.0,88267.0,88820.0,8470,20643,DB,,,,,,0,88561.0,91850.0,87851.0,89139.0,0.0,1.0,91190.0,91190.0,,,
2024-06-18,89365.0,89427.0,87851.0,89080.0,18779,20052,OSB,,,,,,1,,,,,,1.0,91190.0,91190.0,,,
2024-06-19,88960.0,89519.0,88710.0,89475.0,10634,19820,DB,,,,,,1,,,,,,1.0,91190.0,91190.0,,,
2024-06-20,89989.0,91850.0,89989.0,91665.0,21414,17205,DB,91850.0,91850.0,,high,,0,,,,,,1.0,91190.0,,87363.0,91190.0,91190.0
2024-06-21,91252.0,91680.0,89077.0,89139.0,20379,16509,DB,,,,,,0,,,,,,-1.0,87363.0,,87363.0,,
2024-06-24,89176.0,89455.0,88727.0,88999.0,7898,16058,DB,,,,,,0,89176.0,89455.0,86156.0,87167.0,1.0,-1.0,87363.0,,87363.0,,
2024-06-25,88837.0,89156.0,86710.0,86937.0,15407,14696,DB,,,,,,0,,,,,,-1.0,87363.0,91850.0,,87363.0,87363.0
2024-06-26,86861.0,87365.0,86156.0,86965.0,12717,12088,DB,86156.0,,86156.0,low,,0,,,,,,1.0,91850.0,91850.0,,,
2024-06-27,86564.0,87690.0,86451.0,87048.0,9395,10189,DB,,,,,,0,,,,,,1.0,91850.0,91850.0,,,
2024-06-28,87216.0,88474.0,87062.0,87167.0,12937,5313,DB,88474.0,88474.0,,high,5.401323438331903,1,,,,,,1.0,91850.0,88474.0,,,
2024-07-01,86980.0,87848.0,86709.0,87522.0,4283,2530,DB,86709.0,,86709.0,low,7.57546687132259,1,86980.0,92496.0,86709.0,89980.0,1.0,1.0,88474.0,88474.0,,,
2024-07-02,87821.0,88812.0,87588.0,87882.0,550,483,DB,,,,,6.638526477359939,1,,,,,,1.0,88474.0,,86709.0,88474.0,88474.0
2024-07-03,88286.0,90367.0,88278.0,89894.0,253,351,DB,,,,,5.903044256843183,0,,,,,,-1.0,86709.0,,86709.0,,
2024-07-04,89855.0,90105.0,89502.0,90030.0,47,177,ISB,,,,,0.5864711762745751,0,,,,,,-1.0,86709.0,,86709.0,,
2024-07-05,90499.0,92496.0,90223.0,89980.0,105,76,DB,,,,,-0.22327875408233544,0,,,,,,-1.0,86709.0,,86709.0,,
2024-07-08,93295.0,93888.0,92025.0,92614.0,17231,23410,DB,,,,,0.6359729630509426,0,93295.0,94590.0,92025.0,93109.0,0.0,-1.0,86709.0,,86709.0,,
2024-07-09,92799.0,93691.0,92367.0,92969.0,14498,23351,ISB,,,,,0.6475276705138272,0,,,,,,-1.0,86709.0,,86709.0,,
2024-07-10,93073.0,93780.0,92680.0,92832.0,11867,23312,ISB,,,,,0.1637366425370562,0,,,,,,-1.0,86709.0,,86709.0,,
2024-07-11,93400.0,94590.0,93150.0,94190.0,23441,24072,DB,94590.0,94590.0,,high,1.1041511837774711,1,,,,,,-1.0,86709.0,,86709.0,,
