date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-12-01 09:15:00,3155.0,3170.3,3153.0,3163.2,161350,DB,3153.0,,3153.0,low,,0,,,,,,,,,,,
2025-12-01 09:30:00,3163.2,3168.2,3159.4,3168.0,55825,ISB,,,,,,0,,,,,,-1.0,3153.0,,3153.0,,
2025-12-01 09:45:00,3168.0,3171.5,3154.0,3154.0,74200,DB,3171.5,3171.5,,high,,0,,,,,,-1.0,3153.0,,3153.0,,
2025-12-01 10:00:00,3154.0,3162.0,3153.8,3162.0,55300,DB,3153.8,,3153.8,low,,0,,,,,,-1.0,3153.0,,3153.8,,
2025-12-01 10:15:00,3162.0,3162.1,3157.7,3159.0,12075,DB,3162.1,3162.1,,high,,0,,,,,,-1.0,3153.8,,3153.8,,
2025-12-01 10:30:00,3159.0,3159.7,3153.0,3153.9,31850,DB,,,,,,1,,,,,,-1.0,3153.8,3162.1,,3153.8,3153.8
2025-12-01 10:45:00,3153.9,3158.1,3151.9,3153.7,28700,DB,,,,,,0,,,,,,1.0,3162.1,3162.1,,,
2025-12-01 11:00:00,3153.7,3154.2,3150.5,3154.2,30800,DB,3150.5,,3150.5,low,,0,,,,,,1.0,3162.1,3162.1,,,
2025-12-01 11:15:00,3154.2,3156.5,3152.0,3155.3,33425,DB,,,,,,1,,,,,,1.0,3162.1,3162.1,,,
2025-12-01 11:30:00,3155.3,3161.4,3153.6,3154.8,32200,DB,3161.4,3161.4,,high,,1,,,,,,1.0,3162.1,3161.4,,,
2025-12-01 11:45:00,3154.8,3157.9,3150.2,3157.9,25375,DB,3150.2,,3150.2,low,,1,,,,,,1.0,3161.4,3161.4,,,
2025-12-01 12:00:00,3157.9,3160.8,3155.3,3157.3,22750,DB,3160.8,3160.8,,high,,1,,,,,,1.0,3161.4,3160.8,,,
2025-12-01 12:15:00,3157.3,3158.9,3155.4,3156.0,15925,ISB,,,,,,1,,,,,,1.0,3160.8,3160.8,,,
2025-12-01 12:30:00,3156.0,3156.0,3152.4,3153.6,14175,DB,,,,,,1,,,,,,1.0,3160.8,3160.8,,,
2025-12-01 12:45:00,3153.6,3154.1,3150.5,3154.0,29225,DB,,,,,,1,,,,,,1.0,3160.8,3160.8,,,
2025-12-01 13:00:00,3154.0,3154.0,3149.1,3150.2,27825,DB,,,,,,0,,,,,,1.0,3160.8,3160.8,,,
2025-12-01 13:15:00,3150.2,3152.4,3148.0,3149.5,37625,DB,3148.0,,3148.0,low,,0,,,,,,1.0,3160.8,3160.8,,,
2025-12-01 13:30:00,3149.5,3153.5,3148.6,3152.5,41125,DB,3153.5,3153.5,,high,,0,,,,,,1.0,3160.8,3153.5,,,
2025-12-01 13:45:00,3152.5,3153.5,3147.6,3149.0,58100,DB,,,,,,1,,,,,,1.0,3153.5,,3148.0,3153.5,3153.5
2025-12-01 14:00:00,3149.0,3149.7,3142.5,3145.9,66850,DB,3142.5,,3142.5,low,0.8049242424242424,0,,,,,,-1.0,3148.0,3153.5,,3148.0,3148.0
2025-12-01 14:15:00,3145.9,3147.5,3142.5,3145.8,55650,ISB,,,,,0.8049242424242424,0,,,,,,1.0,3153.5,3153.5,,,
2025-12-01 14:30:00,3145.2,3147.4,3144.0,3146.0,49350,ISB,,,,,0.5692599620493358,1,,,,,,1.0,3153.5,3153.5,,,
2025-12-01 14:45:00,3146.0,3150.0,3144.1,3146.0,73150,DB,,,,,0.5660974067046202,1,,,,,,1.0,3153.5,3153.5,,,
2025-12-01 15:00:00,3148.1,3152.7,3146.7,3151.4,70875,DB,,,,,0.38936372269706176,0,,,,,,1.0,3153.5,3153.5,,,
2025-12-01 15:15:00,3151.4,3153.4,3150.2,3150.2,84000,DB,,,,,0.1173150702305169,0,,,,,,1.0,3153.5,3153.5,,,
2025-12-02 09:15:00,3155.5,3158.7,3144.1,3150.4,145775,OSB,,,,,0.43699927166788627,1,,,,,,1.0,3153.5,,3142.5,3153.5,3153.5
2025-12-02 09:30:00,3150.4,3156.8,3145.2,3147.4,136500,ISB,,,,,0.32009634583083585,1,,,,,,-1.0,3142.5,,3142.5,,
2025-12-02 09:45:00,3147.4,3150.0,3144.8,3146.4,81375,ISB,,,,,0.3327734288340253,1,,,,,,-1.0,3142.5,,3142.5,,
2025-12-02 10:00:00,3146.4,3149.1,3145.1,3147.3,60200,ISB,,,,,0.4053326577789095,1,,,,,,-1.0,3142.5,,3142.5,,
2025-12-02 10:15:00,3147.3,3152.9,3145.7,3149.6,111125,ISB,,,,,0.38633268944552623,1,,,,,,-1.0,3142.5,,3142.5,,
2025-12-02 10:30:00,3149.6,3161.6,3147.0,3153.9,93800,DB,3161.6,3161.6,,high,0.32622810629335763,1,,,,,,-1.0,3142.5,,3142.5,,
2025-12-02 10:45:00,3153.9,3154.6,3148.0,3148.3,72275,ISB,,,,,0.25348542458808615,1,,,,,,-1.0,3142.5,,3142.5,,
2025-12-02 11:00:00,3148.3,3152.4,3146.3,3149.0,46725,DB,,,,,0.2441344324667032,1,,,,,,-1.0,3142.5,,3142.5,,
2025-12-02 11:15:00,3149.0,3149.0,3140.2,3144.2,69125,DB,3140.2,,3140.2,low,0.4375396322130685,0,,,,,,-1.0,3142.5,3161.6,,3142.5,3142.5
2025-12-02 11:30:00,3144.2,3148.7,3143.8,3146.3,38850,ISB,,,,,0.20316170401878092,1,,,,,,1.0,3161.6,3161.6,,,
2025-12-02 11:45:00,3146.3,3153.2,3145.9,3153.1,43925,DB,,,,,0.2283467064159024,0,,,,,,1.0,3161.6,3161.6,,,
2025-12-02 12:00:00,3153.1,3158.2,3151.3,3157.2,54250,DB,,,,,0.18687444571137835,0,,,,,,1.0,3161.6,3161.6,,,
2025-12-02 12:15:00,3156.8,3163.9,3155.9,3161.1,65975,DB,3163.9,3163.9,,high,0.16449969947169715,0,,,,,,1.0,3161.6,,3140.2,3161.6,3161.6
2025-12-02 12:30:00,3161.1,3162.5,3158.1,3158.8,37450,ISB,,,,,0.022160314043316223,0,,,,,,-1.0,3140.2,,3140.2,,
2025-12-02 12:45:00,3158.8,3161.0,3155.0,3157.8,45325,DB,,,,,0.08866932674647482,1,,,,,,-1.0,3140.2,,3140.2,,
2025-12-02 13:00:00,3157.8,3160.5,3155.1,3155.2,56175,ISB,,,,,0.003169371196751681,1,,,,,,-1.0,3140.2,,3140.2,,
