date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-12-01 09:15:00,23.17,23.23,23.09,23.1,6064500,DB,23.23,23.23,,high,,0,,,,,,,,,,,
2025-12-01 09:30:00,23.1,23.1,22.91,22.97,17011700,DB,,,,,,0,,,,,,1.0,23.23,23.23,,,
2025-12-01 09:45:00,22.95,23.03,22.95,22.98,5287000,ISB,,,,,,0,,,,,,1.0,23.23,23.23,,,
2025-12-01 10:00:00,22.98,23.0,22.93,22.96,2301400,ISB,,,,,,0,,,,,,1.0,23.23,23.23,,,
2025-12-01 10:15:00,22.96,23.0,22.95,22.99,1990400,ISB,,,,,,1,,,,,,1.0,23.23,23.23,,,
2025-12-01 10:30:00,22.99,23.04,22.95,22.96,1897100,ISB,,,,,,1,,,,,,1.0,23.23,23.23,,,
2025-12-01 10:45:00,22.96,22.96,22.81,22.85,7184100,DB,,,,,,0,,,,,,1.0,23.23,23.23,,,
2025-12-01 11:00:00,22.85,22.86,22.78,22.8,5318100,DB,,,,,,0,,,,,,1.0,23.23,23.23,,,
2025-12-01 11:15:00,22.8,22.85,22.78,22.82,2767900,ISB,,,,,,0,,,,,,1.0,23.23,23.23,,,
2025-12-01 11:30:00,22.82,22.83,22.7,22.73,5753500,DB,,,,,,0,,,,,,1.0,23.23,23.23,,,
2025-12-01 11:45:00,22.73,22.74,22.65,22.69,6562100,DB,,,,,,0,,,,,,1.0,23.23,23.23,,,
2025-12-01 12:00:00,22.69,22.71,22.54,22.62,8490300,DB,,,,,,0,,,,,,1.0,23.23,23.23,,,
2025-12-01 12:15:00,22.62,22.66,22.59,22.66,4976000,ISB,,,,,,1,,,,,,1.0,23.23,23.23,,,
2025-12-01 12:30:00,22.66,22.66,22.62,22.64,2861200,ISB,,,,,,1,,,,,,1.0,23.23,23.23,,,
2025-12-01 12:45:00,22.64,22.66,22.6,22.64,2145900,ISB,,,,,,1,,,,,,1.0,23.23,23.23,,,
2025-12-01 13:00:00,22.64,22.65,22.59,22.61,2612400,ISB,,,,,,1,,,,,,1.0,23.23,23.23,,,
2025-12-01 13:15:00,22.61,22.62,22.52,22.54,3980800,DB,22.52,,22.52,low,,0,,,,,,1.0,23.23,23.23,,,
2025-12-01 13:30:00,22.54,22.61,22.54,22.6,2799000,ISB,,,,,,0,,,,,,1.0,23.23,23.23,,,
2025-12-01 13:45:00,22.6,22.61,22.56,22.6,4416200,ISB,,,,,,1,,,,,,1.0,23.23,23.23,,,
2025-12-01 14:00:00,22.6,22.64,22.6,22.63,6748700,DB,22.64,22.64,,high,2.1645021645021645,0,,,,,,1.0,23.23,22.64,,,
2025-12-01 14:15:00,22.63,22.63,22.57,22.58,2550200,DB,,,,,1.7841601392515238,1,,,,,,1.0,22.64,22.64,,,
2025-12-01 14:30:00,22.58,22.6,22.5,22.51,6810900,DB,,,,,2.088772845953004,0,,,,,,1.0,22.64,22.64,,,
2025-12-01 14:45:00,22.51,22.53,22.46,22.48,6468800,DB,22.46,,22.46,low,2.305350152240094,0,,,,,,1.0,22.64,22.64,,,
2025-12-01 15:00:00,22.48,22.58,22.48,22.53,4758300,DB,,,,,2.2183558068725446,0,,,,,,1.0,22.64,22.64,,,
2025-12-01 15:15:00,22.54,22.58,22.52,22.56,8179300,ISB,,,,,1.9163763066202144,1,,,,,,1.0,22.64,22.64,,,
2025-12-02 09:15:00,22.52,22.89,22.52,22.84,23947000,DB,,,,,1.4442013129102924,0,,,,,,1.0,22.64,,22.46,22.64,22.64
2025-12-02 09:30:00,22.84,22.91,22.75,22.9,10014200,DB,,,,,0.6550218340611291,0,,,,,,-1.0,22.46,,22.46,,
2025-12-02 09:45:00,22.9,22.97,22.85,22.89,13186400,DB,,,,,0.17474879860200587,0,,,,,,-1.0,22.46,,22.46,,
2025-12-02 10:00:00,22.89,22.96,22.87,22.9,4727200,ISB,,,,,0.13100436681221653,1,,,,,,-1.0,22.46,,22.46,,
2025-12-02 10:15:00,22.9,22.98,22.88,22.94,4789400,DB,22.98,22.98,,high,0.26155187445511013,1,,,,,,-1.0,22.46,,22.46,,
2025-12-02 10:30:00,22.94,22.95,22.9,22.9,8086000,ISB,,,,,0.0,1,,,,,,-1.0,22.46,,22.46,,
2025-12-02 10:45:00,22.9,22.91,22.82,22.86,3110000,DB,22.82,,22.82,low,0.17497812773402951,1,,,,,,-1.0,22.46,,22.82,,
2025-12-02 11:00:00,22.86,23.01,22.86,23.0,7401800,DB,23.01,23.01,,high,0.6086956521739155,0,,,,,,-1.0,22.82,,22.82,,
2025-12-02 11:15:00,23.0,23.01,22.88,22.88,4633900,ISB,,,,,0.0,0,,,,,,-1.0,22.82,,22.82,,
2025-12-02 11:30:00,22.88,22.9,22.83,22.84,2830100,DB,,,,,0.04378283712785273,0,,,,,,-1.0,22.82,,22.82,,
