date,open,high,low,close,volume,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2025-12-01 09:15:00,944.15,947.0,939.85,942.75,169200,DB,947.0,947.0,,high,,0,,,,,,,,,,,
2025-12-01 09:30:00,942.75,944.4,940.25,940.25,40500,ISB,,,,,,0,,,,,,1.0,947.0,947.0,,,
2025-12-01 09:45:00,940.25,940.25,937.0,937.0,76500,DB,,,,,,0,,,,,,1.0,947.0,947.0,,,
2025-12-01 10:00:00,937.0,939.7,935.1,938.3,67500,DB,935.1,,935.1,low,,0,,,,,,1.0,947.0,947.0,,,
2025-12-01 10:15:00,938.3,940.3,938.3,940.05,18900,DB,,,,,,1,,,,,,1.0,947.0,947.0,,,
2025-12-01 10:30:00,940.05,942.75,940.05,942.5,25200,DB,,,,,,0,,,,,,1.0,947.0,947.0,,,
2025-12-01 10:45:00,942.5,943.6,941.05,941.9,34200,DB,,,,,,0,,,,,,1.0,947.0,947.0,,,
2025-12-01 11:00:00,941.9,943.65,940.2,941.15,52200,OSB,943.65,943.65,,high,,1,,,,,,1.0,947.0,943.65,,,
2025-12-01 11:15:00,941.15,942.55,941.15,942.0,15300,ISB,,,,,,1,,,,,,1.0,943.65,943.65,,,
2025-12-01 11:30:00,942.0,942.15,940.15,940.15,12600,DB,940.15,,940.15,low,,1,,,,,,1.0,943.65,943.65,,,
2025-12-01 11:45:00,940.15,942.05,939.4,941.7,22500,DB,939.4,,939.4,low,,1,,,,,,1.0,943.65,943.65,,,
2025-12-01 12:00:00,941.7,942.45,941.1,941.85,18000,DB,,,,,,0,,,,,,1.0,943.65,943.65,,,
2025-12-01 12:15:00,941.85,942.55,940.0,941.2,67500,OSB,,,,,,1,,,,,,1.0,943.65,943.65,,,
2025-12-01 12:30:00,941.2,941.55,940.0,940.0,27900,ISB,,,,,,1,,,,,,1.0,943.65,943.65,,,
2025-12-01 12:45:00,940.0,942.45,940.0,941.6,19800,ISB,,,,,,1,,,,,,1.0,943.65,943.65,,,
2025-12-01 13:00:00,941.6,942.2,940.9,942.1,19800,ISB,,,,,,0,,,,,,1.0,943.65,943.65,,,
2025-12-01 13:15:00,942.1,942.5,941.35,941.4,16200,ISB,,,,,,0,,,,,,1.0,943.65,943.65,,,
2025-12-01 13:30:00,941.4,942.5,941.4,942.5,9000,ISB,,,,,,1,,,,,,1.0,943.65,943.65,,,
2025-12-01 13:45:00,942.5,943.8,942.1,942.8,18000,DB,,,,,,0,,,,,,1.0,943.65,,939.4,943.65,943.65
2025-12-01 14:00:00,942.8,943.8,942.55,942.8,14400,ISB,,,,,0.026516758591429785,0,,,,,,-1.0,939.4,,939.4,,
2025-12-01 14:15:00,942.8,944.0,942.8,944.0,14400,DB,944.0,944.0,,high,0.12711864406780143,0,,,,,,-1.0,939.4,,939.4,,
2025-12-01 14:30:00,944.0,944.0,941.95,941.95,18900,DB,,,,,0.0,0,,,,,,-1.0,939.4,,939.4,,
2025-12-01 14:45:00,941.95,941.95,938.05,938.05,61200,DB,938.05,,938.05,low,0.4721485411140632,0,,,,,,-1.0,939.4,944.0,,939.4,939.4
2025-12-01 15:00:00,938.6,942.0,938.2,941.95,88200,DB,,,,,0.39811030309464407,0,,,,,,1.0,944.0,944.0,,,
2025-12-01 15:15:00,941.95,942.3,938.85,938.85,48600,DB,942.3,942.3,,high,0.3872679045092814,0,,,,,,1.0,944.0,942.3,,,
2025-12-02 09:15:00,936.45,945.6,936.45,942.9,72900,OSB,936.45,,936.45,low,0.6840598154629263,1,,,,,,1.0,942.3,,936.45,942.3,942.3
2025-12-02 09:30:00,942.9,945.95,941.35,943.25,52200,DB,945.95,945.95,,high,0.20143122183938267,1,,,,,,-1.0,936.45,,936.45,,
2025-12-02 09:45:00,943.25,944.3,940.85,940.85,34200,DB,940.85,,940.85,low,0.12208067940551776,1,,,,,,-1.0,936.45,,940.85,,
2025-12-02 10:00:00,940.85,944.95,940.85,944.55,76500,DB,,,,,0.39172092530834074,1,,,,,,-1.0,940.85,945.95,,940.85,940.85
2025-12-02 10:15:00,944.55,945.9,943.9,945.8,36000,DB,,,,,0.20088813702685315,0,,,,,,1.0,945.95,945.95,,,
2025-12-02 10:30:00,945.8,947.95,945.8,947.15,53100,DB,,,,,0.14253286174312652,0,,,,,,1.0,945.95,,940.85,945.95,945.95
2025-12-02 10:45:00,947.15,948.1,946.7,947.25,28800,DB,948.1,948.1,,high,0.05806281340722665,0,,,,,,-1.0,940.85,,940.85,,
2025-12-02 11:00:00,947.25,947.8,946.15,946.3,23400,DB,,,,,0.01585120997569241,1,,,,,,-1.0,940.85,,940.85,,
2025-12-02 11:15:00,946.3,946.3,944.85,945.4,30600,DB,944.85,,944.85,low,0.05817643325575994,0,,,,,,-1.0,940.85,,944.85,,
2025-12-02 11:30:00,945.4,945.85,945.4,945.6,9900,ISB,,,,,0.021150592216586873,0,,,,,,-1.0,944.85,,944.85,,
2025-12-02 11:45:00,945.6,949.45,945.6,949.05,38700,DB,,,,,0.36352141615298794,0,,,,,,-1.0,944.85,,944.85,,
